id|nomeNovo
2318|Artigo - ADIns 3105 e 3128 STF e EC 41
2327|STF AC 3.313-RN - SIAFI-CAUC-CADIN inscrição de Estado
2328|Aula 19 prof Antonio Daud - Direito do Trabalho (grifado)
2337|Projeto de pesquisa revisado - desequilíbrio federativo UnB
2392|Relatório palestra TSE - ações afirmativas na Justiça Eleitoral
2412|Resumo seminário 8 - IR como instrumento de justiça social
2430|Processos STF-STJ - ICMS na base PIS-COFINS - ADC 18, RE 574706
2503|Plano de atividades 1-2016 Getrib UnB - Estado e Tributação
2530|Carvalho Neto - Liberdade de expressão e propaganda eleitoral TSE
2565|Cella - IPI seletividade e não-cumulatividade (PUC-SP 2006)
2573|Aula 24 profa Mara Camisassa - NR 07 (grifado)
2636|Série Pensando o Direito nº 13-2009 - Federalismo (SAL-MJ)
2658|Seminário 8 - Abuso de poder religioso (Francisco Simões)
2674|Relatório palestras TSE - ações afirmativas na Just Eleitoral
2708|Artigo - responsab tributária do sócio administrador (CTN 135)
2711|Relatório aulas 22.09 e 06.10.2020 - liberdade de expressão
2719|Aula 31 profa Mara Camisassa - NR 37 (grifado)
2724|Aula 14 PDF - Língua Portuguesa Câmara dos Deputados 2023
2734|Decisão MS 32060-24.2011.4.01.3800 - UFMG Justiça Federal MG
2770|Cruvinel e Palos - Constituição 1988 e pacto federativo fiscal
2775|Semana 15 - Narrativas e direito - verdades e ficções (UnB)
2784|Revista Estudos Eleitorais v.14 nº1 - jan-abr 2020 TSE
2797|Relatório 7 - seminário TSE ações afirmativas (M. Pimenta)
2800|Versão 3 monografia - desequilíbrio federativo fiscal UnB
2811|Petição inicial ADC 18 - exclusão ICMS base PIS-COFINS
2812|Avrichir - Federalismo e reforma bancária (Rui Barbosa)
2814|Avrichir - Federalismo e reforma bancária (Rui Barbosa, 1890)
2818|Anexo 3540088 dados para ofício - SEI 2025.00.000013492-0
2870|Ofício EJE nº 2376-2024 SEI 2896721 - agradecimento pesquisa
2875|Seminário 8.09.2022 - ampliação do sufrágio e direitos sociais
2909|Aula 14 prof Antonio Daud - FGTS e seguro-desemprego (grifado)
2926|Seelaender - Dir Administrativo e expansão do Estado 1ª República
2931|Plano de curso Direito Financeiro - prof Antônio de Moura Borges
2932|Carvalho Neto - Liberdade de expressão e propaganda eleitoral TSE
2970|Documentos compilados p- inscrição aluno especial UnB - MACV
2996|Monografia pós UnB versão 1 - desequilíbrio federativo tributário
2997|Termos de pesquisa - multiplicador bancário e criação de moeda
2999|Cella - IPI seletividade e não-cumulatividade (PUC-SP 2006)
3131|Declaração SEI TSE 3431298 - cargo Analista, Portaria TSE 416-2016
3147|Bercovici - Constituição Econômica e Desenvolvimento
3151|Certidão SEI 3458945 - férias 2025, Portaria TSE 416-2016
3187|Minuta de portaria - eleições suplementares 2024 (SEI 2023.00.000012900-4)
3279|Resumo Direito Financeiro - necessidades públicas e Welfare State
3283|Lei nº 15.684-2015 SP - CRA, ADI TJSP 2100850-72.2016.8.26.0000
3290|Recibo IRPF 2025 ano-calendário 2024 - MACV
3329|Souza Junior - Racionalidade da norma tributária (PUC-PR 2009)
3331|Carvalho Neto - Liberdade de expressão e propaganda eleitoral TSE
3342|Tarefa 1.1 2ª parte - equilíbrio patrimônio individual e Estado
3357|Faller - Constituições econômicas séc XX e Constituição brasileira
3385|Cartão de confirmação - XVIII Concurso Juiz Federal TRF1 2025
3390|Nonô - Aspectos específicos da Constituição Federal de 1988
3400|Mora - Federalismo e dívida estadual no Brasil (TD 866 IPEA)
3401|Formulário solicitação admissão aluno especial UnB - MACV
3436|Bercovici - Separação de poderes no Estado federal norte-americano
3523|Jornal Valor - STJ julga ICMS no cálculo do PIS e Cofins
3530|Les Constitutions de la France - Declaração dos Direitos do Homem
3553|Aula 13 prof Antonio Daud - Direito Coletivo do Trabalho (grifado)
3587|Relatório 2474049 PF - análise urna eletrônica, Res TSE 23.458
3622|Processos STF-STJ - ICMS base PIS-COFINS - ADC 18, RE 574706
3624|Barbosa - Federalismo fiscal, eficiência e equidade (reforma trib FGV)
