id|nomeNovo
1|Parecer CCJC - PDL nº 1.042-2025 - renovação de outorga Rádio Porto Feliz (Mondaí-SC) (MSG nº 1280-2024)
2|Parecer CCJC - PDL nº 1.056-2025 - renovação de permissão Fundação Cultural e Comunitária Zagga (Nova Serrana-MG) (MSG nº 149-2025)
3|Parecer CCJC - PDL nº 880-2025 - renovação de concessão TV Ponta Negra (Natal-RN) (MSG nº 470-2024)
4|Parecer CCJC - PDL nº 949-2025 - renovação de outorga União Municipal dos Estudantes e Comunidades de Caucaia (Caucaia-CE) (MSG nº 239-2025)
5|Parecer CCJC - PDL nº 955-2025 - outorga Fundação Educativa e Cultural Matonense (Brotas-SP) (MSG nº 103-2025)
6|Parecer CCJC - PDL nº 956-2025 - outorga Vale Verde Comunicações e Serviços (Pocrane-MG) (MSG nº 101-2025) (Rel. Patrus Ananias)
7|Parecer CCJC - PDL nº 999-2025 - renovação de outorga Rádio Ibituruna (Governador Valadares-MG) (MSG nº 856-2024)
8|Parecer CCJC - PDL nº 480-2025 - renovação de concessão Rádio Emissora Vanguarda (Sorocaba-SP) (MSG nº 1022-2024)
9|Parecer CCJC - PDL nº 1.130-2025 - revogação de concessão de radiodifusão em onda média (MSG nº 757-2022)
10|Parecer CCJC - PDL nº 621-2025 - renovação de permissão RECC Radiodifusão e Comunicação (Mogi das Cruzes-SP) (MSG nº 1397-2024)
11|Parecer CCJC - PDL nº 704-2025 - outorga Associação Comunitária de Desenvolvimento Cultural e Educacional de Juína (Juína-MT) (MSG nº 1447-2024)
12|Parecer CCJC - PDL nº 861-2025 - outorga Associação Comunitária, Cultural e Artística de São Jorge do Ivaí (São Jorge do Ivaí-PR) (MSG nº 13-2025)
13|Parecer CCJC - PDL nº 883-2025 - outorga Associação Cultural e Artística de Arapongas (Arapongas-PR) (MSG nº 1533-2024)
14|Parecer CCJC - PDL nº 749-2025 - renovação de permissão Rádio Vila Real (Ituiutaba-MG) (MSG nº 445-2024)
15|Parecer CCJC - PDL nº 751-2025 - outorga Associação de Radiodifusão Comunitária Belém Ribeirinha (Belém-PA) (MSG nº 1067-2024)
16|Parecer CCJC - PDL nº 742-2025 - renovação de concessão Rádio Sinuelo (MSG nº 1320-2024)
17|Parecer CCJC - PDL nº 1.135-2025 - renovação de concessão Rádio Clube Cristalina (Cristalina-GO) (MSG nº 1427-2024)
18|Parecer CCJC - PDL nº 790-2025 - renovação de outorga TV e Rádio Cidade FM (MSG nº 1504-2024)
