"ID","Path","Pasta","Nome","Ext"
"1","C:\Users\mauri\OneDrive\Documentos\09 - Família, religião e mensagens\CAROL\Concurso EsFCEx - médico generalista.docx","09 - Família, religião e mensagens\CAROL","Concurso EsFCEx - médico generalista.docx",".docx"
"2","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\GOMES, Reginaldo Gonçalves - Natureza coletiva do direito eleitoral.pdf","06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio","GOMES, Reginaldo Gonçalves - Natureza coletiva do direito eleitoral.pdf",".pdf"
"3","C:\Users\mauri\OneDrive\Documentos\01 - Pessoal e identidade\OAB\Requerimento.pdf","01 - Pessoal e identidade\OAB","Requerimento.pdf",".pdf"
"4","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\TESE\Bibliografia de apoio\(Resumo) OLIVEIRA, Marcelo Roseno de - Controle das eleições.docx","05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\TESE\Bibliografia de apoio","(Resumo) OLIVEIRA, Marcelo Roseno de - Controle das eleições.docx",".docx"
"5","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\POSSE\Horóscopo do Dia da Nomeação TSE.pdf","05 - Jurídico e trabalho\TSE\POSSE","Horóscopo do Dia da Nomeação TSE.pdf",".pdf"
"6","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TOTALIZAÇÃO\SEI_1526004_Informacao_129.pdf","05 - Jurídico e trabalho\TOTALIZAÇÃO","SEI_1526004_Informacao_129.pdf",".pdf"
"7","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\EXAMES e POSSE\Exames de sangue.pdf","06 - Estudos, concursos e leitura\1_CONCURSOS\CD\EXAMES e POSSE","Exames de sangue.pdf",".pdf"
"8","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\Certificados\Grupo 2 - Em ser\INCLUSOS\Certificado 2.pdf","05 - Jurídico e trabalho\TSE\Certificados\Grupo 2 - Em ser\INCLUSOS","Certificado 2.pdf",".pdf"
"9","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\MYKONOS\Extrato Previdenciário - Postalis.pdf","04 - Imóveis\MYKONOS","Extrato Previdenciário - Postalis.pdf",".pdf"
"10","C:\Users\mauri\OneDrive\Documentos\02 - Saúde\FITNESS\REMÉDIOS MANIPULADOS\4_Silimarina.pdf","02 - Saúde\FITNESS\REMÉDIOS MANIPULADOS","4_Silimarina.pdf",".pdf"
"11","C:\Users\mauri\OneDrive\Documentos\03 - Financeiro\IRPF\2025\Pró-saúde.pdf","03 - Financeiro\IRPF\2025","Pró-saúde.pdf",".pdf"
"12","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\AGEL\TERMO DE REFERÊNCIA (TR)\Termo de Referência 2024 (2).pdf","05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\AGEL\TERMO DE REFERÊNCIA (TR)","Termo de Referência 2024 (2).pdf",".pdf"
"13","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\AGEL\Despachos e Informações\2023.00.000004787-3.docx","05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\AGEL\Despachos e Informações","2023.00.000004787-3.docx",".docx"
"14","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PGE-GO\Reforma tributária - Aula única.pdf","06 - Estudos, concursos e leitura\1_CONCURSOS\PGE-GO","Reforma tributária - Aula única.pdf",".pdf"
"15","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\ENAM\Rodada 1.pdf","06 - Estudos, concursos e leitura\1_CONCURSOS\ENAM","Rodada 1.pdf",".pdf"
"16","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\MANDADO DE SEGURANÇA\Ciência sentença.pdf","06 - Estudos, concursos e leitura\1_CONCURSOS\CD\MANDADO DE SEGURANÇA","Ciência sentença.pdf",".pdf"
"17","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\TESE\Disciplinas (créditos)\HISTÓRIA DO DIREITO PÚBLICO\SEMINÁRIO 16\Von Stein (Tema 16) (OCR).pdf","05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\TESE\Disciplinas (créditos)\HISTÓRIA DO DIREITO PÚBLICO\SEMINÁRIO 16","Von Stein (Tema 16) (OCR).pdf",".pdf"
"18","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\AFT\curso-274819-aula-17-prof-antonio-daud-grifado-b0c4.pdf","06 - Estudos, concursos e leitura\1_CONCURSOS\AFT","curso-274819-aula-17-prof-antonio-daud-grifado-b0c4.pdf",".pdf"
"19","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\APTO 216 NORTE\Boleto (2).PDF","04 - Imóveis\APTO 216 NORTE","Boleto (2).PDF",".PDF"
"20","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\TESE\GRUPO TSE\Abordagem histórica\Profa. Gabriela\Casal Bértoa and Enyedi 2021 (Cap. 2).docx","05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\TESE\GRUPO TSE\Abordagem histórica\Profa. Gabriela","Casal Bértoa and Enyedi 2021 (Cap. 2).docx",".docx"
"21","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\APTO 409 SUL\Aluguéis\Boleto (5).pdf","04 - Imóveis\APTO 409 SUL\Aluguéis","Boleto (5).pdf",".pdf"
"22","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\NOVO CÓDIGO ELEITORAL\Projeto de Lei Complementar 112 de 2021 - Compilado e comentado(1).docx","05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\NOVO CÓDIGO ELEITORAL","Projeto de Lei Complementar 112 de 2021 - Compilado e comentado(1).docx",".docx"
"23","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\TESE\Disciplinas (créditos)\HISTÓRIA DO DIREITO PÚBLICO\(TGDP II) Ementa.pdf","05 - Jurídico e trabalho\TSE\ONE DRIVE\Documentos\TESE\Disciplinas (créditos)\HISTÓRIA DO DIREITO PÚBLICO","(TGDP II) Ementa.pdf",".pdf"
"24","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\AGU\Revisão\Guia - análise de atos de concentração horizontal.pdf","06 - Estudos, concursos e leitura\1_CONCURSOS\AGU\Revisão","Guia - análise de atos de concentração horizontal.pdf",".pdf"
