coluna,etiqueta,cor_atual,cor_alvo,remover_se_apply
advogados,Thiago Bracarense de Carvalho Fonseca,default,default,0
advogados,Advocacia-Geral da União,blue,blue,0
advogados,Joelson Costa Dias,pink,pink,0
advogados,João Luis Brasil Batista Rolim de Castro,yellow,yellow,0
advogados,Nathália de Oliveira Ramalho Matos,purple,purple,0
advogados,Izabelle Epifanio,red,red,0
advogados,Fernando Akiyoshi Moraes Hayashida,brown,brown,0
advogados,Jeidson Rodrigo de Campos,orange,orange,0
advogados,EDUARDO DE CARVALHO REGO,green,green,0
advogados,SABRINA NERON BALTHAZAR,gray,gray,0
advogados,AMANDA LIMA FIGUEIREDO,default,default,0
advogados,Benedito Silva Júnior,default,default,0
advogados,GLEYSSIANE MARIA SANTANA DOS REIS,green,green,0
advogados,EDUARDO DOS SANTOS TAVARES,brown,brown,0
advogados,Rodrigo Terra Cyrineu,gray,gray,0
advogados,PEDRO HENRIQUE MARTINS ARAUJO MENEZES,brown,brown,0
advogados,ISABEL CRISTINA SILVESTRE DA MOTA,pink,pink,0
advogados,STELIO LOPES MENDONCA JUNIOR,brown,brown,0
advogados,Victor Ciryllo Rozatti,purple,purple,0
advogados,Alexandre Bissoli,green,green,0
advogados,Thiago Silva Pedro,blue,blue,0
advogados,Sidclei Nogueira da Silva Bernardo,blue,blue,0
advogados,HENRIQUE FRANCA SILVA,default,default,0
advogados,PAULO ROBERTO DA GAMA JORGE MELEM,red,red,0
advogados,CRISTIANE PESSOA PINHEIRO,yellow,yellow,0
advogados,ADANI PRIMO TRICHES,gray,gray,0
advogados,Mario Cesar Vasconcelos Freire de Carvalho,orange,orange,0
advogados,Cicero Dantas de Oliveira,yellow,yellow,0
advogados,MERILANE DA SILVA GOMES,red,red,0
advogados,CLODOALDO JOSE DE LIMA,gray,gray,0
advogados,NEWTON NOBEL SOBREIRA VITA,yellow,yellow,0
advogados,Caius Araújo Moreira de Barros,purple,purple,0
advogados,RAFAEL DE PAIVA SOUSA,green,green,0
advogados,WELLITON APARECIDO NAZARIO,green,green,0
advogados,KLEYSON DE ARRUDA SILVA,blue,blue,0
advogados,RUY OTTONI RONDON JUNIOR,gray,gray,0
advogados,NELSON BRUNO DO REGO VALENCA,purple,purple,0
advogados,DANIEL CIDRAO FROTA,purple,purple,0
advogados,MARCIO RAFAEL GAZZINEO,orange,orange,0
advogados,ANDRE RODRIGUES PARENTE,default,default,0
advogados,GUALTER RAFAEL MACIEL BEZERRA,gray,gray,0
advogados,LEONARDO DE OLIVEIRA MORAIS,pink,pink,0
advogados,CAYO BANDEIRA COELHO,red,red,0
advogados,JOAO PEDRO PESSOA NOBREGA ALVES DE ARAUJO - TO12.220,default,default,0
advogados,SUELEN IVANA SEVALHO FORTES - TO6296000A,pink,pink,0
advogados,ADRIANA DE CARVALHO CAVALCANTE,default,default,0
advogados,DIOGO KARLO SOUZA PRADOS,green,green,0
advogados,RONICIA TEIXEIRA DA SILVA,green,green,0
advogados,ANA JULIA FELICIO DOS SANTOS AIRES,yellow,yellow,0
advogados,SINTHIA FERREIRA CAPONI,blue,blue,0
advogados,LEANDRO MANZANO SORROCHE,default,default,0
advogados,RONICIA TEIXEIRA D,default,default,0
