"Origem","Destino","Nat","Tipo","Materia","NomeNovo"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 019258-6.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Tributario\Sentenca MS 2009.38.00.019258-6 Coopertran x DRF BH Impugnacao CN 2009.doc","01 - Juridico","Acordaos e decisoes","Tributario","Sentenca MS 2009.38.00.019258-6 Coopertran x DRF BH Impugnacao CN 2009.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\R025.doc","C:\Users\mauri\HD_Mau\04 - Pessoal e financeiro\Outros\Registro Protesto DMI 115227-A Duplicata 2014.doc","04 - Pessoal e financeiro","","Outros","Registro Protesto DMI 115227-A Duplicata 2014.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 010240-6.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Civil\Sentenca Acao Imissao Posse 2009.38.00.010240-6 CEF x Barros 2009.doc","01 - Juridico","Acordaos e decisoes","Civil","Sentenca Acao Imissao Posse 2009.38.00.010240-6 CEF x Barros 2009.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Eder Felix Guimaraes 0092.08.012811.6.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Penal\Denuncia IPC 0092.08.012811-6 MP x Eder Felix Guimaraes 2008.doc","01 - Juridico","Peticoes","Penal","Denuncia IPC 0092.08.012811-6 MP x Eder Felix Guimaraes 2008.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Aprendizes.doc","C:\Users\mauri\HD_Mau\02 - Estudos e concursos\Direito do Trabalho\Aprendizes Comentario Previdenciario Trabalhista 2007.doc","02 - Estudos e concursos","","Direito do Trabalho","Aprendizes Comentario Previdenciario Trabalhista 2007.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\051772-0.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Tributario\Sentenca Acao Ordinaria 2004.38.00.051772-0 EMAC x Uniao 2004.doc","01 - Juridico","Acordaos e decisoes","Tributario","Sentenca Acao Ordinaria 2004.38.00.051772-0 EMAC x Uniao 2004.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\59648-40.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Tributario\Sentenca MS 59648-40.2010.4.01.3800 Rogério Azevedo Schiavo x DRF 2010.doc","01 - Juridico","Acordaos e decisoes","Tributario","Sentenca MS 59648-40.2010.4.01.3800 Rogério Azevedo Schiavo x DRF 2010.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 016858-4.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Civel\Sentenca Acao Civil Publica 2009.38.00.016858-4 DPU x CEF FGTS 2009.doc","01 - Juridico","Acordaos e decisoes","Civel","Sentenca Acao Civil Publica 2009.38.00.016858-4 DPU x CEF FGTS 2009.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\EE - Iria Mayer.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Trabalhista\Embargos Execucao 1709-86.2011.5.09.0009 ECT x Iria Mayer 2011.doc","01 - Juridico","Peticoes","Trabalhista","Embargos Execucao 1709-86.2011.5.09.0009 ECT x Iria Mayer 2011.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\C013103.txt","C:\Users\mauri\HD_Mau\04 - Pessoal e financeiro\Outros\Registro Protesto SERASA Concentre Brazopolis 2014.txt","04 - Pessoal e financeiro","","Outros","Registro Protesto SERASA Concentre Brazopolis 2014.txt"
