page_id,numero_processo,informativo,classe_before,classe_after,subramo_before,subramo_after,updated_properties,error,page_url
30d72195-5c64-8105-af37-fbf7559e8169,1004563-10.2019.4.01.4100,707,,ReeNecCrim,"Direito Penal Substantivo, Processo Penal",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""0c9f8e78-147f-40c8-87c0-e6c20b99fd9f""}",https://www.notion.so/Inaplicabilidade-do-habeas-corpus-para-desbloqueio-levantamento-de-arresto-sequestro-ou-hipoteca-l-30d721955c648105af37fbf7559e8169
30d72195-5c64-8105-b0af-dfad5cc7b254,0044733-32.2013.4.01.0000,767,,EDCiv,Processo Civil,"Honorários Advocatícios, Cumprimento de Sentença","classe, subramo_do_direito","http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""83543c3e-5562-4e42-bb9c-40dc3b4b43e3""}",https://www.notion.so/Aplica-o-dos-3-e-4-do-art-85-do-CPC-para-arbitramento-de-honor-rios-advocat-cios-na-a-o-resc-30d721955c648105b0afdfad5cc7b254
30d72195-5c64-8105-b3a6-d2cf05205302,1043083-86.2021.4.01.3900,694,,ReeNecCrim,"Direito Administrativo Disciplinar, Direito Constitucional",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""cad02997-9d03-42d6-9ba5-2a07c7c222ca""}",https://www.notion.so/Recepcionabilidade-do-art-46-1-do-Regulamento-Disciplinar-da-Marinha-e-ilegalidade-de-exig-ncia--30d721955c648105b3a6d2cf05205302
30d72195-5c64-8108-b6fc-dd3238858161,1037622-91.2024.4.01.0000,733,,PBACrim,"Direito Administrativo, Direito Penal",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""43c6e576-f9f8-48b9-b7bb-93482ce4d75c""}",https://www.notion.so/Efeito-de-medida-cautelar-de-proibi-o-de-contratar-com-o-poder-p-blico-municipal-sobre-administra--30d721955c648108b6fcdd3238858161
30d72195-5c64-8109-85a2-c32b7c13cd1d,1033818-23.2021.4.01.0000,629,,RvCr,Processo Penal,"Direito Processual Penal, Competência","classe, subramo_do_direito","http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""3044e5e8-21a0-4d49-b67e-8dbd23b53d12""}",https://www.notion.so/Compet-ncia-dos-Tribunais-Regionais-Federais-para-processar-e-julgar-revis-o-criminal-de-senten-a-pe-30d721955c64810985a2c32b7c13cd1d
30d72195-5c64-810b-afe4-f30a3575902d,1004708-23.2019.4.01.3500,706,,IncImpCiv,"Competência, Tutela Jurisdicional",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""30ed1b76-519d-4570-a05a-36099fd022e0""}",https://www.notion.so/Impedimento-judicial-por-v-nculo-anterior-de-magistrado-com-institui-o-de-ensino-r-controv-rsia-s-30d721955c64810bafe4f30a3575902d
30d72195-5c64-810c-85e1-c05093e563ab,1007557-94.2022.4.01.4200,717,,AgExp,"Direito Penal Econômico, Execução Penal",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""f3796919-d5c5-4c28-a87c-fa24baa82823""}",https://www.notion.so/Extin-o-da-punibilidade-da-pena-corporal-diante-de-multa-pendente-quando-n-o-h-prova-da-possibilid-30d721955c64810c85e1c05093e563ab
30d72195-5c64-8115-8d72-e4ec492deba8,1030206-77.2021.4.01.0000,658,,EDHC,"Direito Constitucional, Processo Penal",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""a203b5f5-55fa-4f8e-80e6-e9a5d1920815""}",https://www.notion.so/Desist-ncia-de-habeas-corpus-ap-s-julgamento-colegiado-e-impossibilidade-de-homologa-o-por-configur-30d721955c6481158d72e4ec492deba8
30d72195-5c64-8116-a1ff-d14b2901ae83,1017947-11.2025.4.01.0000,760,,AgIntCrim,Processo Penal,"Processo Penal, Direito Penal Comum","classe, subramo_do_direito","http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""e0e322ef-8398-4743-88c1-8b345867c472""}",https://www.notion.so/Perpetua-o-da-compet-ncia-por-prerrogativa-de-fun-o-para-julgamento-de-a-o-penal-ap-s-sa-da-do-ca-30d721955c648116a1ffd14b2901ae83
30d72195-5c64-8124-8203-c92e63199422,1031302-59.2023.4.01.0000,685,,MSCrim,"Direito Penal Comum, Processo Penal",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""42a1c087-b75e-4e2f-b5e0-4aefe087494b""}",https://www.notion.so/Incidente-de-sanidade-mental-e-obriga-o-de-quem-requereu-a-per-cia-arcar-com-honor-rios-periciais-m-30d721955c6481248203c92e63199422
