page_id,page_url,numero_processo,problematic_columns,classe_before,classe_after,relator_before,relator_after,ramo_before,ramo_after,informativo_before,informativo_after,subramo_before,subramo_after,notes,llm_used
30d72195-5c64-8000-8811-e07cd2ee7ef0,https://www.notion.so/Revis-o-peri-dica-da-pris-o-preventiva-pelo-ju-zo-que-decretou-a-cust-dia-a-cada-noventa-dias-at-se-30d721955c6480008811e07cd2ee7ef0,1035077-87.2020.4.01.0000,relator(a),HC,,Des. Mônica Sifuentes,Mônica Sifuentes,Direito Penal,,575,,"Processo Penal, Direitos Fundamentais",,,0
30d72195-5c64-8000-8da3-f6e2fefbc03c,https://www.notion.so/Elegibilidade-ao-Prouni-e-controle-de-legalidade-sobre-regulamenta-o-administrativa-que-restringe-a-30d721955c6480008da3f6e2fefbc03c,1006048-97.2018.4.01.3803,relator(a),Ap,,Des. Daniele Maranhão,Daniele Maranhão,Direito Administrativo,,534,,"Direito Constitucional, Direito Educacional",,,0
30d72195-5c64-8000-91db-f7a62b2ece5c,https://www.notion.so/Prorroga-o-do-prazo-de-car-ncia-do-FIES-para-estudante-de-Medicina-durante-todo-o-per-odo-de-resid--30d721955c64800091dbf7a62b2ece5c,1001833-32.2019.4.01.3807,relator(a),Ap,,Des. Daniel Paes Ribeiro,Daniel Paes Ribeiro,Direito Administrativo,,545,,"Direito Educacional, Direito Financeiro",,,0
30d72195-5c64-8000-aef5-f2111fac33a3,https://www.notion.so/Execu-o-fiscal-com-cr-dito-tribut-rio-subsistente-e-continuidade-do-feito-diante-de-erro-no-pedido--30d721955c648000aef5f2111fac33a3,0003367-03.2015.4.01.3505,relator(a),Ap,,Des. Hércules Fajoses,Hércules Fajoses,Direito Público,,507,,"Direito Tributário, Processo Civil",,,0
30d72195-5c64-8000-b581-ffcb66e194e1,https://www.notion.so/Redistribui-o-de-servidor-p-blico-para-universidade-federal-e-controv-rsia-sobre-pedido-de-diferen--30d721955c648000b581ffcb66e194e1,1003079-03.2017.4.01.3300,relator(a),Ap,,Des. Gilda Sigmaringa Seixas,Gilda Sigmaringa Seixas,Direito Administrativo,,518,,"Servidores Públicos, Remuneração e Vencimentos",,,0
30d72195-5c64-8000-b732-c6f1eb6674cf,https://www.notion.so/Crime-de-roubo-com-discuss-o-sobre-manuten-o-de-pris-o-preventiva-e-aplica-o-de-medidas-cautelares-30d721955c648000b732c6f1eb6674cf,1032454-50.2020.4.01.0000,relator(a),HC,,Des. Maria do Carmo Cardoso,Maria do Carmo Cardoso,Direito Penal,,543,,"Processo Penal, Execução Penal",,,0
30d72195-5c64-8001-bd61-d384ac9bbcf6,https://www.notion.so/Incid-ncia-do-artigo-12-da-Lei-13-340-2016-sobre-afastamento-de-honor-rios-de-sucumb-ncia-na-liquida-30d721955c648001bd61d384ac9bbcf6,1003688-26.2021.4.01.9999,relator(a),Ap,,Des. Hercules Fajoses,Hercules Fajoses,Direito Tributário,,597,,"Execução fiscal, Crédito Rural",,,0
30d72195-5c64-8002-924f-d1cfa90f255e,https://www.notion.so/Parcelamento-tribut-rio-federal-e-discuss-o-sobre-reconhecimento-de-erro-escus-vel-do-contribuinte-e-30d721955c648002924fd1cfa90f255e,0011421-57.2011.4.01.3000,relator(a),Ap,,Des. Marcos Augusto de Sousa,Marcos Augusto de Sousa,Direito Tributário,,537,,"Direito Tributário Contencioso, Direito Administrativo Tributário",,,0
30d72195-5c64-8002-9acf-d1603e904143,https://www.notion.so/A-o-trabalhista-indenizat-ria-por-incapacidade-n-o-comprovada-e-extin-o-do-processo-sem-resolu-o--30d721955c6480029acfd1603e904143,1004957-37.2020.4.01.9999,relator(a),Ap,,Des. Gilda Sigmaringa Seixas,Gilda Sigmaringa Seixas,Direito Processual Civil,,525,,"Processo de Conhecimento, Processo Trabalhista Indenizatório",,,0
30d72195-5c64-8002-ae1a-f2fc95341fe9,https://www.notion.so/Controv-rsia-sobre-desconstitui-o-de-auto-de-infra-o-ambiental-e-manuten-o-da-multa-aplicada-pelo-30d721955c648002ae1af2fc95341fe9,1000058-80.2017.4.01.3603,relator(a),ApReeNec,,Des. Daniele Maranhão,Daniele Maranhão,Direito Ambiental,,573,,"Direito Administrativo Ambiental, Responsabilidade Ambiental",,,0
30d72195-5c64-8002-b5ee-ee86134eb1e9,https://www.notion.so/A-o-de-mandado-de-seguran-a-contra-lei-em-tese-que-regula-o-regime-disciplinar-diferenciado-e-sua-i-30d721955c648002b5eeee86134eb1e9,1003859-26.2020.4.01.3400,relator(a),Ap,,Des. Ney Bello,Ney Bello,Direito Constitucional,,536,,"Direito Penitenciário, Controle de Constitucionalidade",,,0
30d72195-5c64-8002-b846-c981cf4d199d,https://www.notion.so/Controle-regulat-rio-da-ANVISA-sobre-proibi-o-de-aditivos-em-derivados-do-tabaco-e-sua-constitucion-30d721955c648002b846c981cf4d199d,0046408-58.2012.4.01.3300,relator(a),IAC,,Des. Daniele Maranhão,Daniele Maranhão,Direito Constitucional,,541,,"Direito Administrativo, Direito Regulatório",,,0
30d72195-5c64-8003-b782-d53c5d8cc354,https://www.notion.so/Recurso-contra-reprova-o-em-exame-pr-admissional-de-candidato-com-defici-ncia-visual-completa-e-ne-30d721955c648003b782d53c5d8cc354,0015849-79.2016.4.01.3300,relator(a),Ap,,Des. Daniel Paes Ribeiro,Daniel Paes Ribeiro,Direito Administrativo,,561,,"Direito Administrativo Disciplinar, Direitos das Pessoas com Deficiência",,,0
30d72195-5c64-8003-b841-d7cbaf6d6e84,https://www.notion.so/Impugna-o-da-legitimidade-passiva-de-correspons-vel-em-execu-o-fiscal-e-aplica-o-da-impenhorabili-30d721955c648003b841d7cbaf6d6e84,0001707-31.2007.4.01.3803,relator(a),ApReeNec,,Des. Gilda Sigmaringa Seixas,Gilda Sigmaringa Seixas,Direito Tributário,,563,,"Execução fiscal, Direito Civil Patrimonial",,,0
