page_id,page_url,numero_processo,unresolved_columns,problematic_columns,notes
30d72195-5c64-8102-a025-fd4d0fac8189,https://www.notion.so/Habilita-o-da-v-tima-como-assistente-da-acusa-o-e-preserva-o-de-representa-o-processual-regular--30d721955c648102a025fd4d0fac8189,1043751-15.2024.4.01.0000,classe,"classe, subramo_do_direito",
30d72195-5c64-8102-a1f6-c64393c23ba6,https://www.notion.so/Aplica-o-da-paridade-prevista-na-Lei-6-903-1981-para-ju-zes-classistas-tempor-rios-aposentados-e-ex-30d721955c648102a1f6c64393c23ba6,1023102-87.2019.4.01.3400,classe,"classe, relator(a)",
30d72195-5c64-8107-94d0-d30f42c7c6cd,https://www.notion.so/Aplica-o-das-altera-es-da-Lei-14-230-2021-Lei-de-Improbidade-8-429-1992-e-efeitos-sobre-possib-30d721955c64810794d0d30f42c7c6cd,1012655-50.2022.4.01.0000,classe,"classe, relator(a)",
30d72195-5c64-8108-af4b-c8f402bb8030,https://www.notion.so/Execu-o-de-honor-rios-sucumbenciais-e-veda-o-penhora-de-sal-rios-discutindo-aplica-o-do-Tema-R-30d721955c648108af4bc8f402bb8030,1035933-17.2021.4.01.0000,classe,"classe, relator(a), subramo_do_direito",
30d72195-5c64-810f-aa24-e3e7da032e1d,https://www.notion.so/Compet-ncia-do-ju-zo-da-execu-o-fiscal-para-determinar-penhora-no-rosto-dos-autos-em-processo-falim-30d721955c64810faa24e3e7da032e1d,1042957-96.2021.4.01.0000,classe,"classe, relator(a)",
30d72195-5c64-8114-b4b5-fa3611881a8d,https://www.notion.so/Servidor-p-blico-que-obt-m-vantagem-remunerat-ria-por-mandado-de-seguran-a-e-controv-rsia-sobre-in-c-30d721955c648114b4b5fa3611881a8d,1022830-40.2021.4.01.0000,classe,"classe, relator(a)",
30d72195-5c64-811a-81fe-f7f2cbc24eb9,https://www.notion.so/Pedido-de-efeito-suspensivo-em-apela-o-contra-senten-a-que-extingue-processo-de-desapropria-o-para-30d721955c64811a81fef7f2cbc24eb9,1005654-77.2023.4.01.0000,classe,"classe, relator(a), subramo_do_direito",
30d72195-5c64-811a-a467-dc27df471433,https://www.notion.so/Impedimento-judicial-por-v-nculo-anterior-de-magistrado-com-institui-o-de-ensino-r-controv-rsia-s-30d721955c64811aa467dc27df471433,1004708-23.2019.4.01.3500,classe,"classe, relator(a), subramo_do_direito",
30d72195-5c64-811a-ae91-c6a9bd09a526,https://www.notion.so/Compet-ncia-para-revisar-renova-o-de-prazo-de-perman-ncia-de-preso-transferido-e-exig-ncia-de-decla-30d721955c64811aae91c6a9bd09a526,1014616-45.2022.4.01.4100,classe,classe,
30d72195-5c64-811f-9848-d1dd1fd06ea8,https://www.notion.so/Prescri-o-de-parcelas-anteriores-impetra-o-em-execu-o-por-Parcela-Aut-noma-de-Equival-ncia-rei-30d721955c64811f9848d1dd1fd06ea8,1008004-62.2019.4.01.3400,classe,"classe, relator(a)",
