before,after,rows
CF/88,,391
"CF/88, CPC/2015",,124
CF/88 art 37 § 6º,CF/88 art. 37 § 6º,29
"CF/88, Lei nº 8.213/1991",Lei nº 8.213/1991,16
CF/88 artigo 37,CF/88 art. 37,12
"CF/88, Lei nº 8.429/1992",Lei nº 8.429/1992,12
CP art 171 § 3º,CP art. 171 § 3º,11
CF/88 Art 37,CF/88 art. 37,10
"CF/88 artigo 5, CPC/2015 artigo 10","CF/88 art. 5º, CPC/2015 art. 10",9
"CF/88, Lei nº 8.666/1993",Lei nº 8.666/1993,9
CF/88 art 100,CF/88 art. 100,8
CF/88 art 109 I,CF/88 art. 109 inc. I,8
"CF/88, Lei nº 8.212/1991, Lei nº 8.213/1991","Lei nº 8.212/1991, Lei nº 8.213/1991",8
CF/88 art 207,CF/88 art. 207,7
CF/88 art 37 §6º,CF/88 art. 37 § 6º,7
"CF/88 artigo 37, CF/88 artigo 5","CF/88 art. 37, CF/88 art. 5º",7
"CF/88, Lei nº 10.637/2002, Lei nº 10.833/2003","Lei nº 10.637/2002, Lei nº 10.833/2003",7
"CF/88, Lei nº 12.990/2014",Lei nº 12.990/2014,7
"CF/88, Lei nº 6.830 1980",Lei nº 6.830/1980,7
"CF/88 artigo 37, Lei nº 8.112/1990 artigo 37","CF/88 art. 37, Lei nº 8.112/1990 art. 37",6
"CF/88, CPC/2015, Lei nº 6.830/1980",Lei nº 6.830/1980,6
"CF/88, Lei nº 8.112/1990",Lei nº 8.112/1990,6
CF/88 art 109 § 2º,CF/88 art. 109 § 2º,5
CF/88 art 109 §2º,CF/88 art. 109 § 2º,5
CF/88 art 196,CF/88 art. 196,5
CF/88 art 5º XXXV,CF/88 art. 5º XXXV,5
"CF/88 artigo 5, CPC/2015 artigo 85","CF/88 art. 5º, CPC/2015 art. 85",5
"CF/88, CP",,5
"CF/88, Lei nº 8.112 1990",Lei nº 8.112/1990,5
CDC art 104,CDC art. 104,4
"CF/88 Art 5º LIV, CF/88 Art 5º LV","CF/88 art. 5º LIV, CF/88 art. 5º LV",4
CF/88 Artigo 196,CF/88 art. 196,4
CF/88 art 109 IV,CF/88 art. 109 inc. IV,4
CF/88 art 225,CF/88 art. 225,4
CF/88 art 37 XI,CF/88 art. 37 inc. XI,4
"CF/88 artigo 37, CPC/2015 Artigo 489","CF/88 art. 37, CPC/2015 art. 489",4
"CF/88 artigo 37, Lei nº 8.112/1990","CF/88 art. 37, Lei nº 8.112/1990",4
"CF/88 artigo 5, CP artigo 155","CF/88 art. 5º, CP art. 155",4
"CF/88 artigo 5, CPC/2015 Artigo 373","CF/88 art. 5º, CPC/2015 art. 373",4
"CF/88 artigo 5, CPC/2015 artigo 927","CF/88 art. 5º, CPC/2015 art. 927",4
"CF/88, Lei nº 6.001/1973",Lei nº 6.001/1973,4
"CF/88, Lei nº 6.880/1980",Lei nº 6.880/1980,4
"CF/88, Lei nº 7.713/1988",Lei nº 7.713/1988,4
"CF/88, Lei nº 7.713/1988 art 6º XIV",Lei nº 7.713/1988 art. 6º XIV,4
"CF/88, Lei nº 7.998/1990",Lei nº 7.998/1990,4
"CF/88, Lei nº 8.036 1990 Art 20",Lei nº 8.036/1990 art. 20,4
"CF/88, Lei nº 9.718/1998",Lei nº 9.718/1998,4
CP art 312,CP art. 312,4
CPC/2015,,4
CPC/2015 art 516 II,CPC/2015 art. 516 inc. II,4
CTN art 135 III,CTN art. 135 inc. III,4
CTN art 138,CTN art. 138,4
CTN art 151,CTN art. 151,4
"CF/88 Art 201, Lei nº 8.213/1991 Art 16, Lei nº 8.213/1991 Art 74","CF/88 art. 201, Lei nº 8.213/1991 art. 16, Lei nº 8.213/1991 art. 74",3
CF/88 Art 37 IV,CF/88 art. 37 inc. IV,3
CF/88 Art 37 XVI,CF/88 art. 37 inc. XVI,3
CF/88 art 205,CF/88 art. 205,3
CF/88 art 37 II,CF/88 art. 37 inc. II,3
CF/88 art 37 XVI c,CF/88 art. 37 inc. XVI al. c,3
"CF/88 artigo 37, CPC/2015 artigo 1, Lei nº 8.112/1990 artigo 37","CF/88 art. 37, CPC/2015 art. 1º, Lei nº 8.112/1990 art. 37",3
"CF/88 artigo 37, CPC/2015 artigo 535","CF/88 art. 37, CPC/2015 art. 535",3
"CF/88 artigo 5, CP artigo 186, CPC/2015 Artigo 373","CF/88 art. 5º, CP art. 186, CPC/2015 art. 373",3
"CF/88 artigo 5, CPC/2015 Artigo 489, Lei nº 9.394/1996","CF/88 art. 5º, CPC/2015 art. 489, Lei nº 9.394/1996",3
"CF/88 artigo 5, CPC/2015 artigo 1.022","CF/88 art. 5º, CPC/2015 art. 1.022",3
"CF/88 artigo 5, CPC/2015 artigo 300","CF/88 art. 5º, CPC/2015 art. 300",3
"CF/88 artigo 5, CPC/2015 artigo 98, CPC/2015 artigo 99","CF/88 art. 5º, CPC/2015 art. 98, CPC/2015 art. 99",3
"CF/88 artigo 5, Lei nº 8.112/1990 artigo 37","CF/88 art. 5º, Lei nº 8.112/1990 art. 37",3
"CF/88, CP Art 149",CP art. 149,3
"CF/88, CP art 342",CP art. 342,3
"CF/88, CPC/2015, Lei nº 7.713/1988",Lei nº 7.713/1988,3
"CF/88, CPC/2015, Lei nº 8.112/1990",Lei nº 8.112/1990,3
"CF/88, CPC/2015, Lei nº 8.213/1991",Lei nº 8.213/1991,3
"CF/88, CPP Art 265",CPP art. 265,3
"CF/88, CPP art 312",CPP art. 312,3
"CF/88, Lei nº 10.259/2001",Lei nº 10.259/2001,3
"CF/88, Lei nº 10.559/2002",Lei nº 10.559/2002,3
"CF/88, Lei nº 10.826/2003",Lei nº 10.826/2003,3
"CF/88, Lei nº 11.382/2006",Lei nº 11.382/2006,3
"CF/88, Lei nº 11.941/2009",Lei nº 11.941/2009,3
"CF/88, Lei nº 12.016 2009",Lei nº 12.016/2009,3
"CF/88, Lei nº 12.990 2014",Lei nº 12.990/2014,3
"CF/88, Lei nº 14.230/2021, Lei nº 8.429/1992","Lei nº 14.230/2021, Lei nº 8.429/1992",3
"CF/88, Lei nº 3.373/1958",Lei nº 3.373/1958,3
"CF/88, Lei nº 3.765/1960",Lei nº 3.765/1960,3
"CF/88, Lei nº 4.502/1964",Lei nº 4.502/1964,3
"CF/88, Lei nº 6.830/1980",Lei nº 6.830/1980,3
"CF/88, Lei nº 8.009/1990",Lei nº 8.009/1990,3
"CF/88, Lei nº 8.025/1990",Lei nº 8.025/1990,3
"CF/88, Lei nº 8.213 1991",Lei nº 8.213/1991,3
"CF/88, Lei nº 8.213 1991 Art 76",Lei nº 8.213/1991 art. 76,3
"CF/88, Lei nº 8.666 1993",Lei nº 8.666/1993,3
"CF/88, Lei nº 8.745/1993 art 9º III",Lei nº 8.745/1993 art. 9º III,3
"CF/88, Lei nº 8.906/1994",Lei nº 8.906/1994,3
"CF/88, Lei nº 9.394/1996",Lei nº 9.394/1996,3
"CF/88, Lei nº 9.656 1998",Lei nº 9.656/1998,3
"CF/88, MP 2.165-36 2001",MP nº 2.165-36/2001,3
CP Art 289 § 1º,CP art. 289 § 1º,3
CP art 304,CP art. 304,3
CP artigo 334,CP art. 334,3
CPC/1973 art 333 I,CPC/1973 art. 333 inc. I,3
CPC/2015 Art 300,CPC/2015 art. 300,3
CPC/2015 art 43,CPC/2015 art. 43,3
CPC/2015 art 782 §3º,CPC/2015 art. 782 § 3º,3
CPC/2015 artigo 835,CPC/2015 art. 835,3
CPC/2015 artigo 85,CPC/2015 art. 85,3
CPP art 226,CPP art. 226,3
CPP art 254,CPP art. 254,3
CPP art 312,CPP art. 312,3
CTB art 134,CTB art. 134,3
CTN art 34,CTN art. 34,3
DL nº 20910 1932,DL nº 20.910/1932,3
Lei Complementar 118 2005,LC nº 118/2005,3
Lei nº 6.830 1980 art 26,Lei nº 6.830/1980 art. 26,3
"ADCT Art 19, CF/88 art 40, EC 20 1998","ADCT art. 19, CF/88 art. 40, EC 20/1998",2
"ADCT Art 54, Lei nº 7.986/1999","ADCT art. 54, Lei nº 7.986/1999",2
"CDC art 104, CF/88",CDC art. 104,2
CDC art 14,CDC art. 14,2
CDC art 14 § 3º,CDC art. 14 § 3º,2
"CDC art 6 VIII, CF/88",CDC art. 6º inc. VIII,2
CF/88 Art 226,CF/88 art. 226,2
"CF/88 Art 226, Lei nº 8.112/1990 art 84","CF/88 art. 226, Lei nº 8.112/1990 art. 84",2
CF/88 Art 37 X,CF/88 art. 37 inc. X,2
"CF/88 Art 37, CF/88 art 5","CF/88 art. 37, CF/88 art. 5º",2
"CF/88 Art 5º I, CF/88 Art 7º XVIII, CF/88 art 227, Lei nº 8.112/1990 Art 210, Lei nº 8.112/1990 art 207","CF/88 art. 5º I, CF/88 art. 7º XVIII, CF/88 art. 227, Lei nº 8.112/1990 art. 210, Lei nº 8.112/1990 art. 207",2
"CF/88 Artigo 196, Lei nº 8.080/1990 Artigo 2, Lei nº 8.080/1990 Artigo 7","CF/88 art. 196, Lei nº 8.080/1990 art. 2º, Lei nº 8.080/1990 art. 7º",2
"CF/88 art 100 § 5º, CPC/2015 art 535 § 3º I","CF/88 art. 100 § 5º, CPC/2015 art. 535 § 3º inc. I",2
"CF/88 art 109 IV, CF/88 art 20 III","CF/88 art. 109 inc. IV, CF/88 art. 20 inc. III",2
CF/88 art 12 I c,CF/88 art. 12 inc. I al. c,2
"CF/88 art 12 I c, Lei nº 6.015/1973 art 32","CF/88 art. 12 inc. I al. c, Lei nº 6.015/1973 art. 32",2
CF/88 art 142 § 2º,CF/88 art. 142 § 2º,2
CF/88 art 157 I,CF/88 art. 157 inc. I,2
"CF/88 art 157 I, CF/88 art 158 I","CF/88 art. 157 inc. I, CF/88 art. 158 inc. I",2
"CF/88 art 195 §7º, CTN art 14, Lei nº 8.212/1991 art 55","CF/88 art. 195 § 7º, CTN art. 14, Lei nº 8.212/1991 art. 55",2
CF/88 art 202 § 3º,CF/88 art. 202 § 3º,2
"CF/88 art 208 IV, Decreto 977/1993, Lei nº 8.069/1990 art 54 IV","CF/88 art. 208 inc. IV, Decreto nº 977/1993, Lei nº 8.069/1990 art. 54 inc. IV",2
CF/88 art 231,CF/88 art. 231,2
CF/88 art 29 X,CF/88 art. 29 inc. X,2
"CF/88 art 37 II, CF/88 art 37 XIII","CF/88 art. 37 inc. II, CF/88 art. 37 inc. XIII",2
"CF/88 art 37 XI, Emenda Constitucional 41 2003","CF/88 art. 37 inc. XI, EC 41/2003",2
CF/88 art 37 inciso II,CF/88 art. 37 inc. II,2
CF/88 art 37 inciso XVI,CF/88 art. 37 inc. XVI,2
CF/88 art 37 parágrafo 6º,CF/88 art. 37 § 6º,2
"CF/88 art 37 § 6º, Lei nº 8.078/1990 art 14","CF/88 art. 37 § 6º, Lei nº 8.078/1990 art. 14",2
CF/88 art 5 inciso LV,CF/88 art. 5º inc. LV,2
CF/88 art 5º,CF/88 art. 5º,2
CF/88 art 5º LVII,CF/88 art. 5º LVII,2
CF/88 art 5º XXXVI,CF/88 art. 5º XXXVI,2
CF/88 art 8º III,CF/88 art. 8º III,2
CF/88 art 93 IX,CF/88 art. 93 inc. IX,2
"CF/88 art. 203 V, Lei nº 8.742/1993 art. 20","CF/88 art. 203 inc. V, Lei nº 8.742/1993 art. 20",2
"CF/88 artigo 100, CPC/2015 artigo 534, CPC/2015 artigo 535","CF/88 art. 100, CPC/2015 art. 534, CPC/2015 art. 535",2
CF/88 artigo 109,CF/88 art. 109,2
