item_before,item_after,action,occurrences
CF/88,,drop_generic_or_invalid,2388
CF/88 artigo 5,CF/88 art. 5º,normalized,520
CPC/2015,,drop_generic_or_invalid,300
CF/88 artigo 37,CF/88 art. 37,normalized,221
CF/88 art 5,CF/88 art. 5º,normalized,121
CF/88 Art 37,CF/88 art. 37,normalized,62
Lei nº 8.112/1990,Lei nº 8.112/1990,unchanged,58
Lei nº 8.213/1991,Lei nº 8.213/1991,unchanged,54
CPC/2015 Artigo 489,CPC/2015 art. 489,normalized,53
CPC/2015 Artigo 373,CPC/2015 art. 373,normalized,47
CPC/2015 artigo 535,CPC/2015 art. 535,normalized,47
CF/88 art 37 § 6º,CF/88 art. 37 § 6º,normalized,44
CPC/2015 artigo 1,CPC/2015 art. 1º,normalized,41
CP art 171 § 3º,CP art. 171 § 3º,normalized,36
CP,,drop_generic_or_invalid,33
Lei nº 8.429/1992,Lei nº 8.429/1992,unchanged,33
CPC/2015 artigo 485,CPC/2015 art. 485,normalized,32
Lei nº 14.230/2021,Lei nº 14.230/2021,unchanged,31
CP art 304,CP art. 304,normalized,28
CPC/2015 artigo 300,CPC/2015 art. 300,normalized,28
CPC/2015 artigo 927,CPC/2015 art. 927,normalized,28
Lei nº 8.112/1990 artigo 37,Lei nº 8.112/1990 art. 37,normalized,28
Lei nº 8.212/1991,Lei nº 8.212/1991,unchanged,28
Lei nº 9.394/1996,Lei nº 9.394/1996,unchanged,28
CP art 312,CP art. 312,normalized,27
CF/88 artigo 201,CF/88 art. 201,normalized,26
Lei nº 6.830/1980,Lei nº 6.830/1980,unchanged,26
CF/88 artigo 7,CF/88 art. 7º,normalized,25
CP art 299,CP art. 299,normalized,25
CP artigo 171,CP art. 171,normalized,25
CPC/2015 artigo 10,CPC/2015 art. 10,normalized,24
CF/88 art 196,CF/88 art. 196,normalized,22
Lei nº 6.938/1981,Lei nº 6.938/1981,unchanged,22
Lei nº 8.112 1990,Lei nº 8.112/1990,normalized,22
CF/88 artigo 150,CF/88 art. 150,normalized,21
CF/88 Art 201,CF/88 art. 201,normalized,20
CTB,,drop_generic_or_invalid,20
Lei nº 8.666/1993,Lei nº 8.666/1993,unchanged,20
CF/88 5,,drop_generic_or_invalid,19
CF/88 Art 226,CF/88 art. 226,normalized,19
CF/88 Art 5º LV,CF/88 art. 5º LV,normalized,19
CF/88 artigo 6,CF/88 art. 6º,normalized,19
EC 103 2019,EC 103/2019,normalized,19
EC 41 2003,EC 41/2003,normalized,19
Lei nº 13.964/2019,Lei nº 13.964/2019,unchanged,19
CF/88 Artigo 196,CF/88 art. 196,normalized,18
CF/88 art 100,CF/88 art. 100,normalized,18
CF/88 artigo 225,CF/88 art. 225,normalized,18
CP art 297,CP art. 297,normalized,18
CPC/2015 artigo 85,CPC/2015 art. 85,normalized,18
CPP art 312,CPP art. 312,normalized,18
Lei 14.230/2021,Lei nº 14.230/2021,normalized,18
CP art 171,CP art. 171,normalized,16
CPC/2015 Art 300,CPC/2015 art. 300,normalized,16
CPP artigo 312,CPP art. 312,normalized,16
EC 20 1998,EC 20/1998,normalized,16
Lei nº 10.559/2002,Lei nº 10.559/2002,unchanged,16
CLT,,drop_generic_or_invalid,15
CP art 71,CP art. 71,normalized,15
