row_number,numero_processo,tema,before_ramo,after_ramo,before_subramo,after_subramo,method,reason,llm_error
2,0003573-37.2012.4.01.3500,Servidor público e cessação de adicional de periculosidade pela designação para atividade sem exposição habitual ao risco,Direito Administrativo,Direito Administrativo,"Direito Previdenciario, Direito do Trabalho","Servidor Público, Direito Previdenciário Administrativo",cache,scope_all,
3,0009903-87.2007.4.01.3900,Reconhecimento do tempo de serviço prestado como aluno-aprendiz em escola técnica federal para fins previdenciários quando existente retribuição pecuniária direta ou indireta,Direito Administrativo,Direito Previdenciário,"Direito Administrativo Disciplinar, Direito Previdenciário","Direito Previdenciário Administrativo, Benefícios Previdenciários",cache,scope_all,
4,0011465-59.2018.4.01.9199,Direito constitucional à expedição de certidão de tempo de serviço rural e controvérsia sobre condicionamento dessa emissão à prévia indenização pela autarquia,Direito Previdenciário,Direito Previdenciário,"Processo Administrativo Previdenciário, Seguridade Social","Direito Constitucional Previdenciário, Processo Administrativo Previdenciário",api,scope_all,
5,0071185-93.2015.4.01.3400,Continuidade de pensão por morte de servidor público federal e controvérsia sobre concessão a filho universitário maior de vinte e um anos ante ausência de previsão estatutária,Direito Administrativo,Direito Administrativo,"Direito Administrativo Disciplinar, Direito Previdenciário","Direito Previdenciário Administrativo, Regime Próprio de Previdência Social",api,scope_all,
6,0001059-14.2012.4.01.3500,"Aplicação do princípio da consunção para absorção do crime de supressão de documentos pelo uso de documento público falso, com delimitação da autonomia dos crimes de corrupção ativ",Direito Penal,Direito Penal,"Criminal, Processo Penal","Direito Penal Substantivo, Processual Penal",api,scope_all,
7,1020970-72.2019.4.01.0000,Peculato por uso indevido de software institucional sem prejuízo econômico e ausência de justa causa para persecução penal,Direito Penal,Direito Penal,"Criminal, Processo Penal","Direito Penal Material, Direito Penal Econômico",api,scope_all,
8,0000763-53.2017.4.01.3908,Crime ambiental por destruição parcial de vegetação com reiteração delitiva e ausência de aplicação do princípio da insignificância devido à proteção ambiental,Direito Penal,Direito Penal,"Direito Ambiental, Direito Processual Penal","Direito Penal Ambiental, Direito Penal Substantivo",api,scope_all,
9,0029115-71.2018.4.01.0000,Crime de falsificação de documento de origem florestal e controvérsia sobre competência estadual versus federal decorrente de hospedagem do sistema DOF em site do Ibama,Direito Penal,Direito Penal,"Criminal, Processo Penal","Direito Penal Ambiental, Processual Penal",api,scope_all,
10,0018667-13.2016.4.01.3200,"Distinguir crime de organização criminosa por financiamento de tráfico versus autofinanciamento e aplicação do art. 36, art. 33 e causa de aumento do art. 40, VII da Lei 11.343/200",Direito Penal,Direito Penal,"Criminologia e Política Criminal, Direito Penal Comum","Criminalidade Organizada, Drogas e Entorpecentes",api,scope_all,
11,0003367-03.2015.4.01.3505,"Execução fiscal com crédito tributário subsistente e continuidade do feito diante de erro no pedido de extinção formulado pela exequente, com possibilidade de recurso pela Fazenda ",Direito Público,Direito Tributário,"Direito Tributário, Processo Civil","Execução Fiscal e de Sentença, Direito Tributário Processual",api,scope_all,
12,0010524-13.1999.4.01.3400,Indenização ao setor sucroalcooleiro por fixação administrativa de preços e controvérsia sobre limite temporal aplicável à responsabilização estatal,Direito Administrativo,Direito Administrativo,"Direito Constitucional, Responsabilidade Civil do Estado","Responsabilidade Civil do Estado, Direito Administrativo Contratual",api,scope_all,
