before,after,reason,rows
Rafael Paulo,Rafael Paulo Soares Pinto,auto_superset,233
Daniele Maranhão,Daniele Maranhão Costa,auto_superset,183
Hercules Fajoses,Hércules Fajoses,self,168
Marcelo Albernaz,Marcelo Velasco Nascimento Albernaz,auto_superset,147
César Jatahy,César Cintra Jatahy Fonseca,auto_superset,137
Maura Moraes Tayer,Maura Martins Moraes Tayer,auto_superset,111
Ana Carolina Roman,Ana Carolina Alves Roman,auto_superset,106
Antônio Scarpa,Antônio Oswaldo Scarpa,auto_superset,101
Kátia Balbino,Kátia Balbino de Carvalho Ferreira,auto_superset,90
Marcus Bastos,Marcus Vinícius Reis Bastos,auto_superset,89
Leão Alves,Leão Aparecido Alves,auto_superset,84
João Batista Moreira,João Batista Gomes Moreira,auto_superset,75
José Amilcar Machado,José Amílcar Machado,self,69
I’talo Fioravanti Sabo Mendes,I'talo Fioravanti Sabo Mendes,self,67
Jamil de Jesus Oliveira,Jamil Rosa de Jesus Oliveira,auto_superset,65
Saulo Casali Bahia (convocado),Saulo José Casali Bahia (convocado),auto_superset,53
Novély Vilanova,Novély Vilanova da Silva Reis,auto_superset,50
Novely Vilanova,Novély Vilanova da Silva Reis,auto_superset,48
Alexandre Laranjeira,Alexandre Jorge Fontes Laranjeira,auto_superset,42
Carlos Moreira Alves,Carlos Eduardo Moreira Alves,auto_superset,38
João Carlos Mayer,João Carlos Mayer Soares,auto_superset,21
Francisco Codevila (convocado),Francisco Renato Codevila Pinheiro Filho (convocado),auto_superset,13
Rosimayre Gonçalves (convocada),Rosimayre Gonçalves de Carvalho (convocada),auto_superset,11
Flavio Jardim,Flávio Jardim,self,9
Jamil Rosa de Jesus,Jamil Rosa de Jesus Oliveira,auto_superset,8
Solange Salgado,Solange Salgado da Silva,auto_superset,8
Marcelo Albernaz (convocado),Marcelo Velasco Nascimento Albernaz (convocado),auto_superset,7
Olívia Merlin Silva (convocada),Olívia Mérlin Silva (convocada),self,6
Pablo Zuniga,Pablo Zuniga Dourado,auto_superset,6
João Luiz de Souza,João Luiz de Sousa,auto_typo,5
Katia Balbino,Kátia Balbino de Carvalho Ferreira,auto_superset,5
Candice Lavocat Galvão,Candice Lavocat Galvão Jobim,auto_superset,4
Carlos Pires Brandão,Carlos Augusto Pires Brandão,auto_superset,4
Cesar Jatahy,César Cintra Jatahy Fonseca,auto_superset,4
Cynthia de Araújo Lima (convocada),Cynthia de Araújo Lima Lopes (convocada),auto_superset,4
Dirley da Cunha Junior (convocado),Dirley da Cunha Júnior (convocado),self,4
Fausto Medanha Gonzaga (convocado),Fausto Mendanha Gonzaga (convocado),auto_typo,4
Glaúcio Maciel (convocado),Gláucio Ferreira Maciel Gonçalves (convocado),auto_superset,4
Pablo Zuninga Dourado (convocado),Pablo Zuniga Dourado (convocado),auto_typo,4
César Jathay,César Jatahy,auto_typo,3
I’Talo Fiavoranti Sabo Mendes,I'talo Fioravanti Sabo Mendes,auto_typo,3
Jose Amilcar Machado,José Amílcar Machado,self,3
Jose Amílcar Machado,José Amílcar Machado,self,3
Marcio Sá Araújo (convocado),Márcio Sá Araújo (convocado),self,3
Pablo Zuniga (convocado),Pablo Zuniga Dourado (convocado),auto_superset,3
Saulo Casali (convocado),Saulo José Casali Bahia (convocado),auto_superset,3
Antonio Scarpa,Antônio Oswaldo Scarpa,auto_superset,2
Carlos Augusto Pires,Carlos Augusto Pires Brandão,auto_superset,2
César Cintra Jatahy,César Cintra Jatahy Fonseca,auto_superset,2
Francisco Assis Betti,Francisco de Assis Betti,auto_superset,2
Gláucio Maciel,Gláucio Ferreira Maciel Gonçalves,auto_superset,2
I’talo Fioravanti,I'talo Fioravanti Sabo Mendes,auto_superset,2
Jamil Rosa,Jamil Rosa de Jesus Oliveira,auto_superset,2
Jóse Magno Linhares Moraes (convocado),José Magno Linhares Moraes (convocado),self,2
Katia Balbino de Carvalho Ferreira,Kátia Balbino de Carvalho Ferreira,self,2
Maria Maura Moraes Tayer,Maria Maura Martins Moraes Tayer,auto_superset,2
Novely Vilanova da Silva Reis,Novély Vilanova da Silva Reis,self,2
Roberto Carvalho,Roberto Carvalho Veloso,auto_superset,2
Saulo Casali Bahia,Saulo José Casali Bahia,auto_superset,2
Saulo Jóse Casali Bahia (convocado),Saulo José Casali Bahia (convocado),self,2
Érico Rodrigo de Freitas Pinheiro (convocado),Érico Rodrigo Freitas Pinheiro (convocado),auto_superset,2
Alan Fernades Minori (convocado),Alan Fernandes Minori (convocado),auto_typo,1
Alexandre Buck Medrado (convocado),Alexandre Buck Medrado Sampaio (convocado),auto_superset,1
Alexandre Fontes Laranjeira,Alexandre Jorge Fontes Laranjeira,auto_superset,1
Alexandre Jorge Fontes,Alexandre Jorge Fontes Laranjeira,auto_superset,1
Alexandre Medrado Sampaio (convocado),Alexandre Buck Medrado Sampaio (convocado),auto_superset,1
Amilcar Machado,Amílcar Machado,self,1
Andrea Márcia Vieira de Almeida (convocada),Andréa Márcia Vieira de Almeida (convocada),self,1
Antônio Scarpa (convocado),Antônio Oswaldo Scarpa (convocado),auto_superset,1
Carlos Brandão,Carlos Augusto Pires Brandão,auto_superset,1
Cesar Cintra Jatahy Fonseca (convocado),César Cintra Jatahy Fonseca (convocado),self,1
Clemência Almada Lima de Ângelo (convocada),Clemência Maria Almada Lima de Ângelo (convocada),auto_superset,1
Clemência Maria Almada (convocada),Clemência Maria Almada Lima de Ângelo (convocada),auto_superset,1
Clemência Maria Lima de Ângelo (convocada),Clemência Maria Almada Lima de Ângelo (convocada),auto_superset,1
César Jatahy Fonseca,César Cintra Jatahy Fonseca,auto_superset,1
César Jatathy,César Jatahy,auto_typo,1
Daniel Paes,Daniel Paes Ribeiro,auto_superset,1
Gilda Sigmaringa Seixa,Gilda Sigmaringa Seixas,auto_typo,1
Gilda Sigmaringa Seixas – PJe,Gilda Sigmaringa Seixas,self,1
Gláucio Maciel (convocado),Gláucio Ferreira Maciel Gonçalves (convocado),auto_superset,1
Itagiba Catta Preta (convocado),Itagiba Catta Preta Neto (convocado),auto_superset,1
Italo Fiavoranti Sabo Mendes,I'Talo Fiavoranti Sabo Mendes,auto_superset,1
I’Talo Fioravante Sabo Mendes,I'talo Fioravanti Sabo Mendes,auto_typo,1
Jamil Rosa de,Jamil Rosa de Jesus Oliveira,auto_superset,1
José Magno Linhares Soares (convocado),José Magno Linhares Moraes (convocado),auto_typo,1
João Batista Gomes Moreira em 02/08/2021,João Batista Gomes Moreira,self,1
João de Sousa,João Luiz de Sousa,auto_superset,1
Katia Balbino de Carvalho Ferreira (convocada),Kátia Balbino de Carvalho Ferreira (convocada),self,1
Klaus Kushel (convocado),Klaus Kuschel (convocado),auto_typo,1
Kátia Balbino (convocada),Kátia Balbino de Carvalho Ferreira (convocada),auto_superset,1
Kátia Balbino Ferreira,Kátia Balbino de Carvalho Ferreira,auto_superset,1
Marcelo Dolzany (convocado),Marcelo Dolzany da Costa (convocado),auto_superset,1
Marcelo Velasco N. Albernaz (convocado),Marcelo Velasco Nascimento Albernaz (convocado),auto_superset,1
Marcos Augusto de Souza,Marcos Augusto de Sousa,auto_typo,1
Maria Maura Tayer,Maria Maura Martins Moraes Tayer,auto_superset,1
Mark Yshida (convocado),Mark Yshida Brandão (convocado),auto_superset,1
Marllon Souza (convocado),Marllon Sousa (convocado),auto_typo,1
Marlon de Sousa (convocado),Marlon Sousa (convocado),auto_superset,1
Mateus Benalti Pontalti (convocado),Mateus Benato Pontalti (convocado),auto_typo,1
Maura Morares Tayer,Maura Moraes Tayer,auto_typo,1
Maurício Rios Junior (convocado),Maurício Rios Júnior (convocado),self,1
Newton Ramos em sessão virtual realizada no,Newton Ramos,self,1
Novély Villanova da Silva Reis,Novély Vilanova da Silva Reis,auto_typo,1
Nóvely Vilanova,Novély Vilanova da Silva Reis,auto_superset,1
Olivia Mérlin Silva (convocada),Olívia Mérlin Silva (convocada),self,1
Olívia Merlin Silva,Olívia Mérlin Silva,self,1
Olívia Mérlin (convocada),Olívia Mérlin Silva (convocada),auto_superset,1
Paulo Lyrio Pimenta (convocado),Paulo Roberto Lyrio Pimenta (convocado),auto_superset,1
Roberto Carlos Oliveira (convocado),Roberto Carlos de Oliveira (convocado),auto_superset,1
Roberto Veloso,Roberto Carvalho Veloso,auto_superset,1
Rosana Kaufmann,Rosana Noya Alves Weibel Kaufmann,auto_superset,1
Rosana Noya Alves Weibel Kaufamann,Rosana Noya Alves Weibel Kaufmann,auto_typo,1
Rosana Noya Weibel Kaufmann,Rosana Noya Alves Weibel Kaufmann,auto_superset,1
Rosimayre Goncalves de Carvalho,Rosimayre Gonçalves de Carvalho,self,1
Rosimayre Gonçalves de,Rosimayre Gonçalves de Carvalho,auto_superset,1
Saulo José,Saulo José Casali Bahia,auto_superset,1
Sonia Diniz Viana,Sônia Diniz Viana,self,1
Urbano Berquó,Urbano Leal Berquó Neto,auto_superset,1
Wagner Mota Alves de Souza (convocado em regime de auxílio à distância),Wagner Mota Alves de Souza (convocado),self,1
Wilson Alves de Sousa,Wilson Alves de Souza,auto_typo,1
Wilson Alvez de Souza,Wilson Alves de Souza,auto_typo,1
fed. Pablo Zuniga Dourado (convocado),Pablo Zuniga Dourado (convocado),self,1
juiz. Federal Luciano Mendonça Fontoura (convocado),Luciano Mendonça Fontoura (convocado),self,1
juiz. federal Alysson Maia Fontenele (convocado),Alysson Maia Fontenele (convocado),self,1
juiz. federal José Alexandre Franco (convocado),José Alexandre Franco (convocado),self,1
juiz. federal Marcelo Elias Vieira (convocado),Marcelo Elias Vieira (convocado),self,1
juiz. federal Pablo Zuniga (convocado),Pablo Zuniga Dourado (convocado),auto_superset,1
juiz. federal Ricardo Beckerath da Silva Leitão (convocado),Ricardo Beckerath da Silva Leitão (convocado),self,1
juiz. federal Saulo Casali Bahia (convocado),Saulo José Casali Bahia (convocado),auto_superset,1
juiz. federal Saulo José Casali Bahia (convocado),Saulo José Casali Bahia (convocado),self,1
juiz. federal Wagner Mota Alves de Souza (convocado),Wagner Mota Alves de Souza (convocado),self,1
juíza. federal Olívia Mérlin Silva (convocada),Olívia Mérlin Silva (convocada),self,1
