before,after,reason,rows
Marlon Sousa (convocado),Marllon Sousa (convocado),value_override,2
Roberto,Roberto Carvalho Veloso,proc_override_pdf,2
federal,Wilson Alves de Souza,proc_override_pdf,2
Alexandre,Alexandre Jorge Fontes Laranjeira,proc_override_pdf,1
Antônio,Antônio Oswaldo Scarpa,proc_override_pdf,1
Daniele,Daniele Maranhão Costa,proc_override_pdf,1
Hercules,Hércules Fajoses,proc_override_pdf,1
I'Talo Fiavoranti Sabo Mendes,I'talo Fioravanti Sabo Mendes,proc_override_pdf,1
João,João Batista Gomes Moreira,proc_override_pdf,1
Marco Augusto de Souza,Marcos Augusto de Sousa,proc_override_pdf,1
Marcos,Marcos Augusto de Sousa,proc_override_pdf,1
Marcus Augusto de Sousa,Marcos Augusto de Sousa,proc_override_pdf,1
Marlon Sousa,Marllon Sousa,value_override,1
Morais,Morais da Rocha,proc_override_pdf,1
Rosana,Rosana Noya Alves Weibel Kaufmann,proc_override_pdf,1
Souza,Souza Prudente,proc_override_pdf,1
des,Flávio Jardim,proc_override_pdf,1
des,Marcos Augusto de Sousa,proc_override_pdf,1
des,Morais da Rocha,proc_override_pdf,1
federal,Alexandre Jorge Fontes Laranjeira,proc_override_pdf,1
federal,Carlos Augusto Pires Brandão,proc_override_pdf,1
federal,Daniel Paes Ribeiro,proc_override_pdf,1
federal,Francisco de Assis Betti,proc_override_pdf,1
federal,Hércules Fajoses,proc_override_pdf,1
federal,Néviton Guedes,proc_override_pdf,1
federal,Urbano Leal Berquó Neto,proc_override_pdf,1
federalGustavo Soares Amorim,Gustavo Soares Amorim,proc_override_pdf,1
juz federal Rafael Lima da Costa,Rafael Lima da Costa,proc_override_pdf,1
