2026-03-14 11:23:03 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Logger configurado: level=DEBUG | quiet=False | verbose=True | debug=False
2026-03-14 11:23:03 | INFO | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Arquivo de log: /mnt/c/Users/mauri/ProjetoConversor/run_producao_relatorio.log
2026-03-14 11:23:03 | INFO | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | [Stage 1/6] Preparando IDs e validando acesso...
2026-03-14 11:23:03 | ERRO | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Falha na execucao: Cliente Notion nao inicializado.
2026-03-14 11:23:22 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Logger configurado: level=DEBUG | quiet=False | verbose=True | debug=False
2026-03-14 11:23:22 | INFO | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Arquivo de log: /mnt/c/Users/mauri/ProjetoConversor/run_producao_relatorio.log
2026-03-14 11:23:22 | INFO | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Perf config: openai_batch=10 | openai_workers=2 | openai_rpm=180 | openai_timeout=75s | notion_interval=0.25s
2026-03-14 11:23:22 | INFO | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | [Stage 1/6] Preparando IDs e validando acesso...
2026-03-14 11:23:22 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31d72195-5c64-8005-9560-f3fa31adfb72 | tentativa 1/5 | timeout=30s
2026-03-14 11:23:23 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/pages/31d72195-5c64-8005-9560-f3fa31adfb72 | tentativa 1/5 concluida em 0.54s | status=200
2026-03-14 11:23:23 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/databases/31772195-5c64-80d3-b642-cc296d6074c7 | tentativa 1/5 | timeout=30s
2026-03-14 11:23:23 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/databases/31772195-5c64-80d3-b642-cc296d6074c7 | tentativa 1/5 concluida em 0.30s | status=200
2026-03-14 11:23:23 | INFO | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | [Stage 2/6] Lendo blocos da pagina de relatorio...
2026-03-14 11:23:23 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/31d72195-5c64-8005-9560-f3fa31adfb72/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:24 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/31d72195-5c64-8005-9560-f3fa31adfb72/children | tentativa 1/5 concluida em 0.97s | status=200
2026-03-14 11:23:24 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/bd37ac57-086b-4016-b9bb-a21fedbd4def/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:24 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/bd37ac57-086b-4016-b9bb-a21fedbd4def/children | tentativa 1/5 concluida em 0.32s | status=200
2026-03-14 11:23:24 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/fddde3ba-bb34-4744-9e40-565f8f99e7de/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:25 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/fddde3ba-bb34-4744-9e40-565f8f99e7de/children | tentativa 1/5 concluida em 0.31s | status=200
2026-03-14 11:23:25 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/fab1d7c6-3323-46a0-aa9b-57cc19a0b44d/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:25 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/fab1d7c6-3323-46a0-aa9b-57cc19a0b44d/children | tentativa 1/5 concluida em 0.32s | status=200
2026-03-14 11:23:25 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/b65fdfce-7e1f-4117-80ea-5fcf2f5ce075/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:25 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/b65fdfce-7e1f-4117-80ea-5fcf2f5ce075/children | tentativa 1/5 concluida em 0.40s | status=200
2026-03-14 11:23:25 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/d6a12f41-2a15-483f-86b3-dedb89f0522b/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:26 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/d6a12f41-2a15-483f-86b3-dedb89f0522b/children | tentativa 1/5 concluida em 0.30s | status=200
2026-03-14 11:23:26 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/b2dc0af9-9a3d-4e67-b7ad-613ac4e745da/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:26 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/b2dc0af9-9a3d-4e67-b7ad-613ac4e745da/children | tentativa 1/5 concluida em 0.46s | status=200
2026-03-14 11:23:26 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/7edc5abb-8deb-41d4-9bd4-adc6d4ea11d2/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:28 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/7edc5abb-8deb-41d4-9bd4-adc6d4ea11d2/children | tentativa 1/5 concluida em 1.62s | status=200
2026-03-14 11:23:28 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/9fc7f18d-a70b-4e69-85cf-6c1ea788e569/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:28 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/9fc7f18d-a70b-4e69-85cf-6c1ea788e569/children | tentativa 1/5 concluida em 0.31s | status=200
2026-03-14 11:23:28 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/1169d76e-3735-4cea-9bca-39668253bdca/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:29 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/1169d76e-3735-4cea-9bca-39668253bdca/children | tentativa 1/5 concluida em 0.35s | status=200
2026-03-14 11:23:29 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/66557255-9c6d-4646-9f62-ad6f82d3b5f5/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:29 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/66557255-9c6d-4646-9f62-ad6f82d3b5f5/children | tentativa 1/5 concluida em 0.35s | status=200
2026-03-14 11:23:29 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/31043a29-b10c-4016-8bb7-d4d696978ae0/children | tentativa 1/5 | timeout=30s
2026-03-14 11:23:29 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/31043a29-b10c-4016-8bb7-d4d696978ae0/children | tentativa 1/5 concluida em 0.35s | status=200
2026-03-14 11:23:29 | DEBUG | NOTION_relatoriodeIAdoNotcha_compementador_DJeTSE | Notion GET /v1/blocks/83f763a6-18da-4017-b9b5-1533315d2edc/children | tentativa 1/5 | timeout=30s
