tipo_registro,youtube_link,data_sessao,classe_processo,numero_processo,origem,eleicao,tribunal,tema,punchline,votacao,resultado,pedido_vista,relator,partes,advogados,analise_do_conteudo_juridico,raciocinio_juridico,fundamentacao_normativa,precedentes_citados,resoluções_citadas,composicao
Julgamento 1,http://www.youtube.com/watch?v=f3C4ZvbRb8k&t=1098,6/4/2024,,0600167-56,Brasília/DF,,TSE,Efeitos da constituição de federação partidária sobre a justa causa para desfiliação,"A federação não autoriza, por si só, a desfiliação com justa causa.",Por maioria,Provido,,Min. Nunes Marques,Partido Democrático Trabalhista (PDT),,"Consulta formulada pelo PDT sobre se a constituição de federação partidária configura, por si só, justa causa para desfiliação sem perda de mandato e qual o marco inicial para considerar a federação apta a gerar tal justa causa. A Corte analisou a natureza jurídica da federação criada pela Lei 14.208/2021, a distinção entre federação e fusão/incorporação e a aplicação do rol taxativo de justa causa previsto na Lei dos Partidos (Lei 9.096/1995). Discutiu-se também o momento em que a federação impactaria a fidelidade partidária (constituição, pedido de registro ou deferimento pelo TSE).","Tese vencedora (Relator Min. Nunes Marques): a mera celebração de federação partidária não implica mudança substancial automática do programa partidário nem gera, por si só, justa causa para desfiliação; eventual justa causa deve ser demonstrada no caso concreto. Voto-vista da Min. Isabel Gallotti acompanhou o relator, ressaltando a distinção entre federação e fusão e a necessidade de prova de alteração substancial. Min. Floriano de Azevedo Marques e Min. André Ramos Tavares acompanharam o relator. Divergência do Min. Raul Araújo (acompanhado pelo Min. Dias Toffoli) sustentou que a federação se assemelha à fusão/incorporação e poderia gerar justa causa, fixando o deferimento do registro pelo TSE como marco. Conclusão do colegiado: por maioria, assentou-se que a criação da federação não gera justa causa automática. Ministros vencedores citados: Min. Nunes Marques (relator), Min. Isabel Gallotti, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares. Ministros vencidos citados: Min. Raul Araújo, Min. Dias Toffoli.","Lei nº 14.208/2021, Lei nº 9.096/1995 art. 11-A, Lei nº 9.096/1995 art. 22, parágrafo único, Constituição Federal art. 17, §1º","ADI 7021 (STF), Jurisprudência do TSE sobre fusão/incorporação",,"Min. Cármen Lúcia, Min. Nunes Marques, Min. Dias Toffoli, Min. Raul Araújo, Min. Isabel Gallotti, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares"
Julgamento 2,http://www.youtube.com/watch?v=f3C4ZvbRb8k&t=2671,6/4/2024,QO,0600167-56,Porto Alegre/RS,,TRE-RS,Prorrogação de prazo administrativo eleitoral em razão de calamidade pública no RS,"Em face da calamidade, prazo eleitoral estendido para garantir o processamento do alistamento.",Unânime,Aprovada,,Min. Raul Araújo,,,"Questão de ordem apresentada pelo Min. Corregedor Raul Araújo em razão do estado de calamidade pública no Rio Grande do Sul, visando adequar prazos administrativos eleitorais às dificuldades locais. A matéria tratou da prorrogação do prazo para tratamento de dados do alistamento eleitoral (RAIS/Título Net) nas zonas eleitorais do RS.","O Corregedor apresentou necessidade urgente de prorrogação pelos impactos da calamidade nas zonas eleitorais. O Tribunal, ponderando sobre a preservação do regular exercício do direito eleitoral e a garantia da ampla prestação dos serviços eleitorais, aprovou por unanimidade a prorrogação do prazo até 10 de junho de 2024. Decisão administrativa de caráter excepcional, aprovada por todos os ministros presentes.",,,,"Min. Cármen Lúcia, Min. Nunes Marques, Min. Dias Toffoli, Min. Raul Araújo, Min. Isabel Gallotti, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares"
Julgamento 3,http://www.youtube.com/watch?v=f3C4ZvbRb8k&t=3160,6/4/2024,Ref-TutCautAnt,0600234-11,Maringá/PR,2020,TRE-PR,Referendo de liminar em perda de mandato por desfiliação em federação partidária,Liminar não foi referendada: federação não autoriza automática justa causa para desfiliação.,Por maioria,Desprovido,,Min. Benedito Gonçalves,"Janderson Flávio Mantovani, Partido Solidariedade, Adriano da Silva de Oliveira, Rede Sustentabilidade","Dr. Adriel Borges Simone, Dr. Roosevelt Arraes","Agravo em Recurso Especial Eleitoral contra decisão do TRE/PR que decretou a perda de mandato por desfiliação partidária. O agravante alegou que a entrada do partido em federação justificaria a desfiliação (justa causa). O relator original havia concedido liminar suspendendo a cassação, e a Corte analisou o referendo dessa liminar frente ao entendimento sobre federações partidárias.","Tese vencedora (Min. Nunes Marques, divergência vencedora neste caso): aplicando o entendimento da Consulta (0600167-56), a federação preserva a autonomia dos partidos federados e não gera, automaticamente, justa causa para desfiliação; portanto, não havia plausibilidade jurídica suficiente para manter a liminar que suspendia a cassação decretada pelo TRE/PR. A maioria formada por Min. Nunes Marques (divergente), Min. Floriano de Azevedo Marques e Min. André Ramos Tavares votou para não referendar a liminar. Vencidos: Min. Benedito Gonçalves (relator original), Min. Raul Araújo e Min. Dias Toffoli (que acompanharam o relator original). Min. Isabel Gallotti não votou por ter sucedido o relator original. Conclusão: por maioria, a liminar não foi referendada e restabeleceu-se o acórdão do TRE/PR que decretou perda de mandato.","Constituição Federal art. 17, Lei nº 9.096/1995 art. 11-A (§9º), Lei nº 14.208/2021",Precedentes sobre justa causa em fusão/incorporação,,"Min. Cármen Lúcia, Min. Nunes Marques, Min. Dias Toffoli, Min. Raul Araújo, Min. Isabel Gallotti, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares"
Julgamento 4,http://www.youtube.com/watch?v=f3C4ZvbRb8k&t=3856,6/4/2024,PC,0601674-74,Brasília/DF,2020,TSE,Prestação de contas partidárias: conta do FEFC e cumprimento de cota racial (2020),Contas aprovadas com ressalvas; julgamento suspenso para análise suplementar.,Suspenso,Suspenso por vista,Min. Floriano de Azevedo Marques,Min. Raul Araújo,"Partido da Mulher Brasileira (PMB) - Nacional, Suêd Haidar Nogueira",,"Prestação de contas do Diretório Nacional do PMB relativa às eleições de 2020, com questionamentos sobre abertura de conta específica para o FEFC e cumprimento da cota racial (pessoas negras). A ASEPA apontou erro material quanto à conta bancária, e discutiu-se também os efeitos da Emenda Constitucional nº 117/2022 (anistia relativa a cotas).","Posição do relator Min. Raul Araújo: voto pela desaprovação das contas em razão das irregularidades apontadas. Voto-vista do Min. Nunes Marques propôs afastar a falha relativa à conta bancária (erro material atribuível ao banco) e aplicar a anistia trazida pela EC 117/2022 quanto à cota racial, determinando apenas a aplicação do valor faltante nas eleições futuras, concluindo pela aprovação com ressalvas. Min. Isabel Gallotti divergiu parcialmente, entendendo que o uso de conta de 2018 poderia configurar irregularidade quanto à exigência de conta específica para o pleito. O Min. Floriano suscitou dúvida e, em razão da necessidade de melhor exame de pontos dispositivos, pediu vista. Resultado: julgamento suspenso por vista do Min. Floriano, sem decisão final.","Res.-TSE nº 23.607/2019, Res.-TSE nº 23.553/2017, Emenda Constitucional nº 117/2022",,"Res.-TSE nº 23.607/2019, Res.-TSE nº 23.553/2017","Min. Cármen Lúcia, Min. Nunes Marques, Min. Dias Toffoli, Min. Raul Araújo, Min. Isabel Gallotti, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares"
Julgamento 5,http://www.youtube.com/watch?v=f3C4ZvbRb8k&t=4794,6/4/2024,AgRg-REspe,0600475-92,Goiânia/GO,2020,TRE-GO,Fraude à cota de gênero e responsabilização por chapa: cassação e inelegibilidade de candidatas 'laranjas',Cassação mantida por fraude à cota; exame específico sobre inelegibilidade das 'laranjas' suspenso para vista.,Suspenso,Suspenso por vista,Min. Cármen Lúcia,Min. Nunes Marques,"Leonardo José Arantes, Partido dos Trabalhadores (PT) - Diretório Municipal, Lucimar Alves Elias (interessada), Ana Paula Almeida de Oliveira, Marina Gonçalves Correia",,"Agravo em Tutela Cautelar Antecedente referente a AIJE que apurou fraude à cota de gênero nas eleições municipais de Goiânia/2020. O relator reconheceu fraude consistente na inércia do partido em substituir candidatas indeferidas/renunciantes, resultando em percentual inferior ao mínimo legal exigido para candidaturas femininas. Também foram debatidas alegações de coisa julgada, nulidade e intempestividade recursal de terceiros.","Relator Min. Nunes Marques: não conheceu do recurso da terceira (intempestivo) e rejeitou preliminares de coisa julgada e de necessidade de litisconsórcio passivo do partido, por insuficiência de identidade entre processos. No mérito, concluiu que a omissão do partido em substituir candidatas resultou em fraude à cota de gênero, justificando a manutenção da cassação da chapa e dos mandatos. De ofício, contudo, o relator afastou a sanção de inelegibilidade das candidatas apontadas como 'laranjas', por ausência de participação no polo passivo e oportunidade de defesa, aplicando precedente do TSE. A Min. Cármen Lúcia pediu vista especificamente sobre a parte dispositiva que afasta a inelegibilidade das candidatas, para melhor exame. Em razão do pedido de vista, o julgamento foi suspenso antes de decisão final colegiada sobre todos os seus efeitos. Não houve definição final unânime ou por maioria registrada do colegiado sobre a totalidade das consequências (cassação mantida pelo relator, mas matéria dispositiva sobre inelegibilidade sujeita a vista).","Lei nº 9.504/1997 art. 10, §3º, CPC art. 1.021","Súmula 24/TSE, Precedentes sobre litisconsórcio passivo necessário em fraude à cota de gênero, REspe 0600965-83 (Min. Floriano) (menção)",,"Min. Cármen Lúcia, Min. Nunes Marques, Min. Dias Toffoli, Min. Raul Araújo, Min. Isabel Gallotti, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares"
Julgamento 1,http://www.youtube.com/watch?v=naYUBt56-gI&t=879,6/9/2024,Ref-TutCautAnt,0612862-08,Monte Alegre/PA,2024,TRE-PA,Prazo de domicílio eleitoral em eleição suplementar — liminar para registro,Liminar impede exigência retroativa de domicílio eleitoral em eleição suplementar.,Unânime,Provido,,Min. André Ramos Tavares,"José Alfredo Silva Hage Júnior, Coligação ""Unidos por Monte Verde""",,"Pedido de liminar em tutela cautelar antecedente visando suspender os efeitos de acórdão do TRE-PA que indeferiu registro de candidatura a prefeito em eleição suplementar. A controvérsia central é a exigência de domicílio eleitoral com caráter retroativo: o TRE-PA marcou a eleição para 09/06/2024, mas condicionou o registro à comprovação de domicílio eleitoral desde dezembro/2023. O requerente alegou que tal exigência configura surpresa normativa e imposição de requisito impossível de cumprir na excepcionalidade da eleição suplementar. O relator analisou a imprevisibilidade das eleições suplementares e a necessidade de proteção aos direitos políticos e à segurança jurídica, concluindo pela possibilidade de mitigação do prazo de domicílio em situações excepcionais e pela concessão de efeito suspensivo ao recurso especial, restabelecendo a decisão de 1ª instância que deferiu o registro. Determinou-se comunicação imediata ao TRE-PA e ao Juízo da 19ª Zona Eleitoral, com dispensa de juízo prévio de admissibilidade (LC 64/1990, art. 12, par. único).","Tese vencedora (unânime): exposta pelo relator Min. André Ramos Tavares, sustentou-se que exigir domicílio eleitoral com marco temporal anterior à convocação da eleição suplementar configura imposição retroativa e imprevisível, inviabilizando o exercício do direito de registro. Fundamentou-se na excepcionalidade das eleições suplementares e nos princípios da proteção aos direitos políticos e da segurança jurídica, autorizando mitigação do prazo de seis meses previsto no art. 9º da Lei nº 9.504/1997 quando a convocação é imprevisível. Citou precedente (REsp 0600098/TO) que admite flexibilização do prazo em situações excepcionais. Conclusão do colegiado: concessão de liminar com efeito suspensivo ao acórdão do TRE-PA, restabelecendo-se a decisão de 1ª instância que deferiu o registro. Votação unânime — Min. André Ramos Tavares (relator) vencendo com o apoio de Min. Cármen Lúcia, Min. Nunes Marques, Min. Dias Toffoli, Min. Raul Araújo, Min. Isabel Gallotti e Min. Floriano de Azevedo Marques. Não houve tese divergente registrada.","Lei nº 9.504/1997 (Art. 9º), Regimento Interno do TSE (Art. 18-A), Pacto Internacional sobre Direitos Civis e Políticos (Art. 25), LC 64/1990 (Art. 12, parágrafo único)","TSE, REsp 0600098 (Tocantins, 2018) — mitigação do prazo de domicílio em eleição suplementar, precedentes de relatoria dos Min. Marco Aurélio, Edmar Costa e Marcelo Ribeiro",Resolução-TSE nº 23.609/2019 (Art. 53),"Min. Cármen Lúcia, Min. Nunes Marques, Min. Dias Toffoli, Min. Raul Araújo, Min. Isabel Gallotti, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares"
Julgamento 2,http://www.youtube.com/watch?v=naYUBt56-gI&t=1456,6/9/2024,REspe,0600941-38,São Francisco/SE,2020,TRE-SE,Licitude de áudios de WhatsApp em AIJE por suposta compra de votos,Áudios sem cadeia de custódia comprovada são provas ilícitas e insuficientes para condenação eleitoral.,Suspenso,Suspenso por pedido de vista,Min. Isabel Gallotti,Min. Raul Araújo,"Coligação ""Unidos por São Francisco"", Alba dos Santos Nascimento (Prefeita), Desirée (Vice), Pablo Santos Nascimento","Dr. Fabiano Freire Feitosa (pela Recorrente), Dr. Fabrício Medeiros, Dr. José Acácio dos Santos Souto","AIJE ajuizada por suposto abuso de poder econômico e captação ilícita de sufrágio (compra de votos). A controvérsia central é a licitude de áudios de WhatsApp que teriam sido enviados por uma coordenadora de campanha (Aparecida) para uma prima (Jacimara) e posteriormente encaminhados à coligação adversária. O TRE-SE declarou as provas ilícitas por ausência de perícia e por violação de privacidade/segredo de comunicações, entendendo quebrada a cadeia de custódia e inexistente comprovação da integridade e autoria dos arquivos. O Relator manteve o entendimento do TRE-SE, entendendo que, sem prova lícita e acervo probatório robusto, não há elementos suficientes para condenação em AIJE.","Tese vencedora (relator): os áudios de WhatsApp possuem expectativa de privacidade e confidencialidade; sem perícia e sem cadeia de custódia comprovada, a prova é ilícita e não pode embasar condenação em AIJE. Apoia-se na proteção constitucional da intimidade (Art. 5º, X e XII), no entendimento do STF (Tema 979) sobre gravações clandestinas e na Súmula 24 do TSE (vedação ao reexame de fatos e provas em Recurso Especial), concluindo pelo desprovimento do recurso. Tese divergente (arguida pelo recorrente): os áudios teriam sido enviados espontaneamente pela remetente, revelando fatos graves que, por seu interesse público, poderiam prevalecer sobre a expectativa de privacidade, tornando-os aptos a instruir a ação. Defesa dos recorridos sustentou a quebra da cadeia de custódia, ausência de perícia e proteção à privacidade. Resultado colegiado: o Relator, Min. Raul Araújo, votou pelo desprovimento do recurso (mantendo a declaração de ilicitude das provas), mas o julgamento foi suspenso por pedido de vista da Min. Isabel Gallotti, de modo que não houve decisão colegiada final; portanto, não há lista de ministros vencedores ou vencidos definitiva além do voto proferido pelo Relator até o momento.","Constituição Federal (Art. 5º, X e XII), Súmula nº 24 do TSE, Código Eleitoral (Art. 275), CPC (Art. 1.022)","STF, Tema 979 (vedação de prova de gravação ambiental clandestina no processo eleitoral), STJ, REsp 1.903.273 (vazamento de conversas de WhatsApp e dever de indenizar)",,"Min. Cármen Lúcia, Min. Nunes Marques, Min. Dias Toffoli, Min. Raul Araújo, Min. Isabel Gallotti, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares"
Julgamento 3,http://www.youtube.com/watch?v=naYUBt56-gI&t=3612,6/9/2024,AgRg-REspe,0601661-86,Teresina/PI,2022,TRE-PI,Trancamento de inquérito por atipicidade em investigação de fraude eleitoral e lavagem,Inquérito trancado: ausência de crime eleitoral afasta justa causa para investigar lavagem.,Por maioria,Provido,,Min. Raul Araújo,"Jackson Dias Cunha Nogueira, Wellington do Nascimento Mesquita",,"Inquérito policial instaurado após apreensão de aproximadamente R$ 360.000,00 em espécie apreendidos em veículo 20 dias antes da eleição, para apuração de crime eleitoral (art. 299 CE) e lavagem de dinheiro (Lei 9.613/1998). O TRE-PI trancou integralmente o inquérito por atipicidade, entendendo comprovada a origem lícita dos valores (empresa de construção civil) e inexistente o crime eleitoral (ausência de material de campanha). O MPE recorreu sustentando que, afastado o crime eleitoral, deveria permanecer a investigação sobre eventual crime comum (lavagem) na Justiça Comum. O plenário do TSE, por maioria, entendeu pelo provimento do agravo regimental, restabelecendo integralmente o acórdão do TRE-PI e determinando o trancamento do inquérito também quanto à investigação de lavagem de dinheiro, sem remessa à Justiça Comum.","Tese vencedora (Relator Min. Raul Araújo): o inquérito originou-se de denúncia de crime eleitoral inexistente; comprovada a origem lícita dos valores e inexistente o crime antecedente, não há justa causa para prosseguir a investigação de lavagem de dinheiro na esfera eleitoral, devendo o inquérito ser trancado integralmente. Argumentou-se que o transporte de espécie, isoladamente, não configura o crime e que elementos fáticos (atividade empresarial do portador dos valores) comprovam licitude. Acompanhamento do Relator por Min. Floriano de Azevedo Marques, Min. André Ramos Tavares, Min. Nunes Marques e Min. Dias Toffoli (maioria). Tese divergente (Min. Isabel Gallotti): entende que, afastado o crime eleitoral, a Justiça Eleitoral perde competência para decidir sobre crime comum remanescente, cabendo remeter os autos à Justiça Comum para que esta decida sobre arquivamento ou prosseguimento da investigação; ficou vencida. Conclusão do colegiado: provimento do agravo regimental, restabelecimento do acórdão do TRE-PI e trancamento integral do inquérito, sem remessa à Justiça Comum. Ministros vencedores: Min. Raul Araújo, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares, Min. Nunes Marques, Min. Dias Toffoli. Ministro vencida: Min. Isabel Gallotti.","Código Eleitoral (Art. 299), Lei nº 9.613/1998 (Art. 1º)","Jurisprudência sobre vis attractiva da Justiça Eleitoral e deslocamento de competência (Min. Benedito Gonçalves, Min. Mauro Campbell)",,"Min. Cármen Lúcia, Min. Nunes Marques, Min. Dias Toffoli, Min. Raul Araújo, Min. Isabel Gallotti, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares"
Julgamento 1,https://youtu.be/90pcX16pJGE?t=523,6/11/2024,Lista Tríplice,0600006-12,Belo Horizonte/MG,,TRE-MG,Análise da idoneidade moral de indicada para lista tríplice,Dívidas eventuais não afastam idoneidade quando não há gravidade nem mácula ética.,Unânime,Aprovada,Min. Nunes Marques,Min. Floriano de Azevedo Marques,"Antônio Augusto Mesquita Fonte Boa, Vinícius Diniz Monteiro de Barros, Beatriz Coelho Morais de Sá",,"Formação de lista tríplice para vaga de jurista. A controvérsia centrou-se na idoneidade moral da indicada Beatriz Coelho Morais de Sá em razão de apontamentos em certidões cíveis (uma ação monitória quitada e uma ação de cobrança em recurso). O exame considerou a natureza e o valor das dívidas, a existência de quitação em um caso e a ausência de fatos graves ou de prática reprovável que maculassem a idoneidade exigida para a nomeação.","Tese vencedora: a manutenção da idoneidade moral da indicada. O voto-vista do Min. Nunes Marques concluiu que os registros cíveis analisados não configuravam desonra ou mácula suficiente para afastar a idoneidade, por serem em número reduzido, sem indícios de fatos graves e com valores não elevados (um processo quitado e outro em recurso). Não houve tese divergente registrada no acórdão. Após apresentação do voto-vista, o julgamento foi unânime, com todos os ministros presentes concordando pela aprovação da lista. Vencedores: Min. Floriano de Azevedo Marques (relator) e demais ministros; não houve ministros vencidos.",,"TSE, LT nº 0600740-94 (Rel. Min. Isabel Gallotti, j. 10/05/2024)",,"Min. Cármen Lúcia, Min. Nunes Marques, Min. Raul Araújo, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares, Min. André Mendonça, Min. Isabel Gallotti"
Julgamento 2,https://youtu.be/90pcX16pJGE?t=957,6/11/2024,Lista Tríplice,0600298-94,Brasília/DF,,TRE-DF,Validação de requisitos e formação de lista tríplice para juiz titular,Ausência de óbices documentais garante a aprovação da lista.,Unânime,Aprovada,,Min. Raul Araújo,"Guilherme Pupe de Nóbrega, Jainara Cristina Loyola de Souza, Guilherme Silveira Coelho",,"Formação de lista tríplice para vaga de juiz titular (classe dos advogados). O relator verificou requisitos objetivos e subjetivos, notadamente tempo de exercício da advocacia e eventuais óbices à idoneidade. Aplicou-se a Res.-TSE nº 23.517/2017 para flexibilizar exigências documentais quando cabível (dispensa de comprovação de exercício da advocacia em hipóteses previstas). Não houve impugnações nem registros de desabonamento.","Tese vencedora: aplicação da resolução de regência para validar a documentação apresentada e reconhecer a inexistência de desabonamento dos indicados. Não houve tese divergente ou impugnações a desconstituir a lista. O relator concluiu pela regularidade dos requisitos e propôs a aprovação, o que ocorreu por unanimidade.",Res.-TSE nº 23.517/2017 (Art. 5º),,"Res.-TSE nº 23.517/2017 (Art. 5º, § 8º)","Min. Cármen Lúcia, Min. Nunes Marques, Min. Raul Araújo, Min. Floriano de Azevedo Marques, Min. André Ramos Tavares, Min. André Mendonça, Min. Isabel Gallotti"
