"Motivo","Rel","Ext","Length","FullName"
"TEMPORARIO","01 - Jurídico\Acórdãos e decisões\~$ 0600034-60- AC - filiação partidária, ausência de justa causa, Súm. 24 e 28 TSE, negativa de seguimento- LCMB - SNV.doc",".doc","162","C:\Users\mauri\HD_Mau\01 - Jurídico\Acórdãos e decisões\~$ 0600034-60- AC - filiação partidária, ausência de justa causa, Súm. 24 e 28 TSE, negativa de seguimento- LCMB - SNV.doc"
"TEMPORARIO","01 - Jurídico\Acórdãos e decisões\~$ 0600080-42-DF, ação rescisória, decisão não apreciou mérito, TCCB.docx",".docx","162","C:\Users\mauri\HD_Mau\01 - Jurídico\Acórdãos e decisões\~$ 0600080-42-DF, ação rescisória, decisão não apreciou mérito, TCCB.docx"
"TEMPORARIO","01 - Jurídico\Acórdãos e decisões\~$ 0600142-82 - AC - erro grosseiro, negativa de seguimento - LCMB.docx",".docx","162","C:\Users\mauri\HD_Mau\01 - Jurídico\Acórdãos e decisões\~$ 0600142-82 - AC - erro grosseiro, negativa de seguimento - LCMB.docx"
"TEMPORARIO","01 - Jurídico\Acórdãos e decisões\~$ 060024186 - GO - PJe- realização de novas eleições interposição de ED sem efeito suspensivo- nega seguimento MAR2018 - LCMB.doc",".doc","162","C:\Users\mauri\HD_Mau\01 - Jurídico\Acórdãos e decisões\~$ 060024186 - GO - PJe- realização de novas eleições interposição de ED sem efeito suspensivo- nega seguimento MAR2018 - LCMB.doc"
"TEMPORARIO","01 - Jurídico\Acórdãos e decisões\~$ 0603317-36-RS - Rp Propaganda eleitoral Impulsionamento Identificação - Negativa seguimento - RP.docx",".docx","162","C:\Users\mauri\HD_Mau\01 - Jurídico\Acórdãos e decisões\~$ 0603317-36-RS - Rp Propaganda eleitoral Impulsionamento Identificação - Negativa seguimento - RP.docx"
"TEMPORARIO","01 - Jurídico\Acórdãos e decisões\~$ 0608698-84-SP - Propaganda Ilegitimidade ativa Candidato S 24 28 - Negativa seguimento - RP.docx",".docx","162","C:\Users\mauri\HD_Mau\01 - Jurídico\Acórdãos e decisões\~$ 0608698-84-SP - Propaganda Ilegitimidade ativa Candidato S 24 28 - Negativa seguimento - RP.docx"
"TEMPORARIO","01 - Jurídico\Acórdãos e decisões\~$ 52974 - SP, aime, captação, vereador, escuta, nega seguimento, Súm 24 e 26 - TCCB - SNV.docx",".docx","162","C:\Users\mauri\HD_Mau\01 - Jurídico\Acórdãos e decisões\~$ 52974 - SP, aime, captação, vereador, escuta, nega seguimento, Súm 24 e 26 - TCCB - SNV.docx"
"TEMPORARIO","01 - Jurídico\Acórdãos e decisões\~$ 559-13 - SP - Ação Penal, aus. prequestionamento, reexame de fatos e provas, S24 e 72, nega seguimento - MACV.docx",".docx","162","C:\Users\mauri\HD_Mau\01 - Jurídico\Acórdãos e decisões\~$ 559-13 - SP - Ação Penal, aus. prequestionamento, reexame de fatos e provas, S24 e 72, nega seguimento - MACV.docx"
"TEMPORARIO","01 - Jurídico\Acórdãos e decisões\~$ nº 0600065-08 CE (el2018 - aime - prazo decadencial - nega seguimento) ELDA- RMG [BF].docx",".docx","162","C:\Users\mauri\HD_Mau\01 - Jurídico\Acórdãos e decisões\~$ nº 0600065-08 CE (el2018 - aime - prazo decadencial - nega seguimento) ELDA- RMG [BF].docx"
"TEMPORARIO","01 - Jurídico\Acórdãos e decisões\~$ nº 060016817 - CE - PJe - realização de novas eleições interposição de REspe decisão não teratológica indef liminar - MAR2018 - HCF.doc",".doc","162","C:\Users\mauri\HD_Mau\01 - Jurídico\Acórdãos e decisões\~$ nº 060016817 - CE - PJe - realização de novas eleições interposição de REspe decisão não teratológica indef liminar - MAR2018 - HCF.doc"
