"Rel","Name","Length","Modified","Attributes"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Instruções_notion.docx","Instruções_notion.docx","21731","2025-08-30","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Petição 14.129_DF.pdf","Petição 14.129_DF.pdf","137925","2025-07-18","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\REVISTA_Estudos_Eleitorais_18.pdf","REVISTA_Estudos_Eleitorais_18.pdf","681280","2025-02-26","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Telefones.pdf","Telefones.pdf","34043","2024-11-08","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Arquivos de Chat do Microsoft Copilot\caderno TEC_teste_1.txt","caderno TEC_teste_1.txt","303381","2025-07-21","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Arquivos de Chat do Microsoft Teams\Banco à STI (05_06_2025) 1.xlsx","Banco à STI (05_06_2025) 1.xlsx","593857","2025-06-05","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Arquivos de Chat do Microsoft Teams\Banco à STI (05_06_2025).xlsx","Banco à STI (05_06_2025).xlsx","594234","2025-06-05","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Arquivos de Chat do Microsoft Teams\Banco à STI (atualizado) 1.xlsx","Banco à STI (atualizado) 1.xlsx","578324","2025-02-21","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Arquivos de Chat do Microsoft Teams\Banco à STI (atualizado).xlsx","Banco à STI (atualizado).xlsx","570077","2025-02-21","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Arquivos de Chat do Microsoft Teams\Banco à STI.xlsx","Banco à STI.xlsx","513435","2024-08-28","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Arquivos de Chat do Microsoft Teams\Decisoes1932_1937_com correção 9999.xlsx","Decisoes1932_1937_com correção 9999.xlsx","555594","2025-08-14","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Arquivos de Chat do Microsoft Teams\REVISTA_Estudos_Eleitorais_18__1_.pdf","REVISTA_Estudos_Eleitorais_18__1_.pdf","761976","2025-06-06","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Arquivos de Chat do Microsoft Teams\SEI_TSE - 2480437 - Informação Conjunta.pdf","SEI_TSE - 2480437 - Informação Conjunta.pdf","161665","2023-05-19","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Arquivos de Chat do Microsoft Teams\Teste de espelho de decisão.jpg","Teste de espelho de decisão.jpg","575371","2025-02-21","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\Diogo (Tecnologia TSE).txt","Diogo (Tecnologia TSE).txt","16","2020-06-08","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\Estatutos dos partidos políticos.docx","Estatutos dos partidos políticos.docx","17525","2024-06-16","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\Matéria_processual.txt","Matéria_processual.txt","1570942","2025-10-24","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\Matéria_processual_converter em checkpoint e continuar.csv","Matéria_processual_converter em checkpoint e continuar.csv","6008325","2025-10-25","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\Painel Gerencial SEGJUR.xlsx","Painel Gerencial SEGJUR.xlsx","10170","2025-07-22","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\PEC - Reforma Administrativa - FINAL.pdf","PEC - Reforma Administrativa - FINAL.pdf","449353","2025-10-02","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\Postos de trabalho.docx","Postos de trabalho.docx","14206","2025-10-27","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\Reforma Administrativa - versão final.pdf","Reforma Administrativa - versão final.pdf","9077959","2025-10-02","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\Relatório - Projeto Boletins Eleitorais.docx","Relatório - Projeto Boletins Eleitorais.docx","5828158","2025-09-19","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\Resolução 23513 - criação AGEL.pdf","Resolução 23513 - criação AGEL.pdf","1173466","2024-08-22","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\REVISTA_Estudos_Eleitorais_18.pdf","REVISTA_Estudos_Eleitorais_18.pdf","761976","2025-02-26","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\13.23%\1028483-57.2020.4.01.0000 - acórdão AR.pdf","1028483-57.2020.4.01.0000 - acórdão AR.pdf","124120","2023-02-18","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\13.23%\1028483-57.2020.4.01.0000 - Decisão AR.pdf","1028483-57.2020.4.01.0000 - Decisão AR.pdf","40284","2023-02-18","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\13.23%\1028483-57.2020.4.01.0000 - Petição da União.pdf","1028483-57.2020.4.01.0000 - Petição da União.pdf","25716","2023-02-18","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\13.23%\atualizacao-calculo - MAI_2025.md","atualizacao-calculo - MAI_2025.md","4606","2025-05-11","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\13.23%\Comprovante de endereço.pdf","Comprovante de endereço.pdf","27688","2022-10-18","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\13.23%\CONTRATO DE HONORÁRIOS - 13,23% - 4%.docx","CONTRATO DE HONORÁRIOS - 13,23% - 4%.docx","22246","2022-10-06","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\13.23%\CONTRATO DE HONORÁRIOS - 13,23% - 4%.pdf","CONTRATO DE HONORÁRIOS - 13,23% - 4%.pdf","339299","2022-10-18","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\13.23%\Cálculos - parecer.pdf","Cálculos - parecer.pdf","298153","2023-06-19","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\13.23%\DECLARAÇÃO DE HIPOSSUFICIÊNCIA.docx","DECLARAÇÃO DE HIPOSSUFICIÊNCIA.docx","20627","2022-10-06","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\13.23%\FF 2016.pdf","FF 2016.pdf","297761","2022-10-06","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\13.23%\FF 2017.pdf","FF 2017.pdf","303548","2022-10-06","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\13.23%\FF 2018.pdf","FF 2018.pdf","341686","2022-10-06","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\13.23%\FF 2019.pdf","FF 2019.pdf","304024","2022-10-06","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\13.23%\FF 2020.pdf","FF 2020.pdf","303890","2022-10-06","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\13.23%\FF 2021.pdf","FF 2021.pdf","310236","2022-10-06","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\13.23%\FF 2022.pdf","FF 2022.pdf","260693","2022-10-06","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\13.23%\FF's 2016-2022.pdf","FF's 2016-2022.pdf","935322","2022-10-06","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\13.23%\Modelo_renúncia.jpg","Modelo_renúncia.jpg","44445","2023-06-19","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\13.23%\PETIÇÃO INICIAL.pdf","PETIÇÃO INICIAL.pdf","224538","2022-11-04","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\13.23%\PROCURAÇÃO.docx","PROCURAÇÃO.docx","25353","2022-10-06","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\13.23%\PROCURAÇÃO.pdf","PROCURAÇÃO.pdf","342515","2022-10-18","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Barroso critica resoluções do TSE.docx","Barroso critica resoluções do TSE.docx","16423","2023-07-20","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Comissionamento.pdf","Comissionamento.pdf","2471944","2024-07-11","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Conversa com Ronnie.pdf","Conversa com Ronnie.pdf","76524","2024-06-19","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Conversa com Ronnie.png","Conversa com Ronnie.png","295952","2024-06-19","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Currículo.docx","Currículo.docx","761590","2025-11-14","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\Currículo.pdf","Currículo.pdf","169053","2024-07-03","4199968"
"OneDrive - TRIBUNAL SUPERIOR ELEITORAL\Documentos\AGEL\EJE_Grupo de Pesquisa.pdf","EJE_Grupo de Pesquisa.pdf","761994","2024-07-09","4199968"
