relpath	size	sha1	paginas	len_norm	sha1_norm	ano_zip	data_pasta	data_nome	n_nome	data_texto	n_texto	id_pasta	n_atas_sup	n_atas_reg	n_atas_incertas	atas	flags
BEs 1932\AGOSTO\03\99099\00000004.pdf	1440365	2ab29b327ed10e5cea4ecf40b3beb11933a6a281	15	72144	1b92112bd1060a27974f194188c7185634d45229	1932	1932-08-03			1932-08-03	4	99099	2	1	0	superior:extraordinaria:6:1932-07-22:2;superior:ordinaria:9:1932-07-23:3;regional:::1932-07-26:14	
BEs 1932\AGOSTO\08\99100\00000005.pdf	434426	d6a346e1dabc2cb64c485f6fffc8767711dbf244	5	19296	af6ece7eee129508d1d5403ae493f81a52ad9ed4	1932	1932-08-08			1932-08-08	5	99100	2	0	0	superior:extraordinaria::1932-07-29:2;superior:ordinaria::1932-07-30:3	
BEs 1932\AGOSTO\10\99101\00000006.pdf	746466	deb05f01870e8d2d6d3bf16c116105f4f254ee1d	9	35193	a06a6f48f1707a79667f4c0698f65b6edd6307e4	1932	1932-08-10			1932-08-10		99101	1	1	0	superior:extraordinaria:8:1932-08-03:2;regional:ordinaria:2:1932-05-25:9	
BEs 1932\AGOSTO\17\99102\00000007.pdf	838916	d1a9ea72813e5b4abb016650cb48848509a0ca25	9	39155	5842253e8fd2599ba2d07397f5904a8b071b5902	1932	1932-08-17			1932-08-17	7	99102	2	0	0	superior:ordinaria:11:1932-08-06:2;superior:ordinaria::1932-08-06:2	
BEs 1932\AGOSTO\22\99103\00000008.pdf	439637	23e44eea97713f3beb0a395a66ef770d085ed317	5	18654	3d574fe59b2f4aa97169cf5fb777a26f76b54335	1932	1932-08-22			1932-08-22	8	99103	1	2	0	superior:extraordinaria:9:1932-08-10:2;regional:ordinaria:3::4;regional:ordinaria:::4	
BEs 1932\AGOSTO\24\99156\00000009.pdf	935909	c806070eeffc4ee60e5bad7af97763b4c472b03e	9	45036	3b690eb494ccec0bc0402604eb8b683791a02c17	1932	1932-08-24			1932-08-24	9	99156	1	0	0	superior:ordinaria:12:1932-08-13:9	
BEs 1932\AGOSTO\27\99157\00000010.pdf	491957	07b9048bbfa90b8abe4815698cdb28bf8c7c8bad	5	21508	a17ad71f85069e1081620691a03d36796222b187	1932	1932-08-27			1932-08-27	10	99157	2	1	0	superior:ordinaria:13:1932-08-20:2;superior:ordinaria::1932-08-20:2;regional:ordinaria::1932-06-08:3	
BEs 1932\AGOSTO\31\99158\00000011.pdf	903540	b5e8bbeebdff9061e6746e969ea350a15cf5190c	9	44710	d050fc93c1427a05069ec2858fb156db060a35ad	1932	1932-08-31			1932-08-31	11	99158	0	0	0		
BEs 1932\DEZEMBRO\03\99175\00000028.pdf	1033666	396b008b84f3df77f7c43c9d249de278c6c5a331	13	52730	a2e65bd966b54f13d9885c5b103130e42fce7c38	1932	1932-12-03			1932-09-10		99175	2	0	0	superior:ordinaria:24:1932-11-05:2;superior:ordinaria::1932-11-05:2	data_divergente
BEs 1932\DEZEMBRO\07\99176\00000029.pdf	1397755	eb045a179492c587ac0b5003e6fd3f33669e5a0d	17	68902	08780684d1ab1e439914d982b6fde3636e5c6b59	1932	1932-12-07			1932-12-07	296	99176	1	0	0	superior:ordinaria:25:1932-11-12:2	
BEs 1932\DEZEMBRO\10\99177\00000030.pdf	1232395	8fde18bf997395bce84e78c6f0fa090e57a53f65	17	64147	9c46949dea95c3156765681bc319d41fa3f8f577	1932	1932-12-10			1932-12-10	30	99177	0	0	0		
BEs 1932\DEZEMBRO\14\99178\00000031.pdf	2639779	2826b03f3099cdb8884971804684decd56596c48	33	146881	fe24bd33c51cb389355fbb4b27714ce9338f45cb	1932	1932-12-14			1932-12-14	31	99178	0	0	0		
BEs 1932\DEZEMBRO\17\99179\00000032.pdf	2138735	865d69ec3908231aceb6ad135ee1a24b8230c8e6	23	119006	15e1402260f779cc7d96f72a2c14dc810bad2d16	1932	1932-12-17			1932-10-08		99179	1	0	0	superior:extraordinaria:12::2	data_divergente
BEs 1932\DEZEMBRO\21\99180\00000033.pdf	1379419	3e7e5ef8a5001e277a268df1711f199e665e5e09	17	74739	64c575d23ddc01d28f3557998fa279d61e2aca79	1932	1932-12-21			1932-12-21	33	99180	6	0	0	superior:::1932-11-19:2;superior:::1932-11-21:2;superior:::1932-11-24:2;superior:ordinaria:26:1932-11-19:2;superior:extraordinaria::1932-11-21:3;superior:extraordinaria::1932-11-24:3	
BEs 1932\DEZEMBRO\24\99181\00000034.pdf	2255889	913f82863b66e813793dd0f622198a897bdba596	25	124067	966de7bf508cd55a9b3c9b66b54b6cd2df359a33	1932	1932-12-24			1932-12-24	34	99181	2	0	0	superior:::1932-11-26:2;superior:ordinaria:27:1932-11-26:2	
BEs 1932\DEZEMBRO\28\99182\00000035.pdf	1546231	27aed2c131255f676fd75db1222acfb1c5135375	17	84349	e952258a5ae55fe696ec66838c592127706d102a	1932	1932-12-28			1932-12-28	35	99182	3	0	0	superior:::1932-08-09:5;superior::16:1932-08-16:6;superior::17:1932-08-19:7	
BEs 1932\JULHO\1932_boletim_eleitoral_a1_n3.pdf	77282	226738836aab1a1ded61d4b76b93d7967ff15e51	1	2336	08446552a9d8c1630061b9b73b471b20558ac153	1932	1932-07		3	1932-07-29	3		0	0	0		
BEs 1932\JULHO\20\99096\00000001.pdf	799855	51f6408caa41e3af79d6a26322bc5b7febc10d6d	8	39668	ef05951e995b55205cc32eb9441946e6634e972d	1932	1932-07-20			1932-07-20	1	99096	0	0	0		
BEs 1932\JULHO\20\99098\00000003.pdf	117944	6968efe6c92bdd1cb3332a9aedb5343864867f3d	2	2768	6820515bca0db1883de7863536995c881095e4ab	1932	1932-07-20			1932-07-29	3	99098	0	0	0		data_divergente
BEs 1932\JULHO\27\99097\00000002.pdf	2324953	eae7366635df38da665759bb4bd39b34498a0bc9	18	122065	3ab5f928cf2982ae8706058bffbf67a1653a430c	1932	1932-07-27					99097	13	0	0	superior:::1932-05-17:2;superior:::1932-05-20:3;superior:ordinaria::1932-05-28:3;superior:ordinaria:::3;superior:extraordinaria:1:1932-06-17:7;superior:ordinaria:4:1932-06-18:9;superior:extraordinaria::1932-06-24:11;superior:ordinaria::1932-06-25:12;superior:ordinaria:1:1932-07-02:14;superior:extraordinaria::1932-07-08:15;superior:ordinaria::1932-07-09:15;superior:ordinaria::1932-07-16:16;superior:extraordinaria::1932-07-15:18	
BEs 1932\NOVEMBRO\03\99168\00000021.pdf	1635555	060500dc230d6f954bcc3fb39cf7af6042453281	24	89295	565faafd6f8ed765011b51f3fa4f426cab312280	1932	1932-11-03			1932-11-03	21	99168	0	0	0		
BEs 1932\NOVEMBRO\09\99169\00000022.pdf	2550950	acd91a92490c919097ab6bf9c3ba238d12c32502	34	143524	5c3ebeb72b958999535249c87d64ba6402fbbc18	1932	1932-11-09			1932-11-09	22	99169	1	0	0	superior:ordinaria:22:1932-10-22:2	
BEs 1932\NOVEMBRO\16\99170\00000023.pdf	4192194	9cc136c0edfc83219013093b5067b6f6bcf210ae	61	232971	25616296c284a2dcbc5a5bc175762cf273b470cc	1932	1932-11-16			1932-11-16	23	99170	0	0	0		
BEs 1932\NOVEMBRO\19\99171\00000024.pdf	1328869	365fe5c08061621da3274d1e4e790c4d3d545113	20	69602	dbf9b48e3b9db5dd476b36ced5b66515110eb30b	1932	1932-11-19			1932-11-19	24	99171	0	0	0		
BEs 1932\NOVEMBRO\23\99172\00000025.pdf	1513934	79a66565bca4b3d07ec1864cae89a448ba7de7f4	17	77125	99f21d3ea68da983586829c3da994363cf2edc3d	1932	1932-11-23			1932-11-23	25	99172	1	2	0	superior:ordinaria:23:1932-10-29:2;regional:ordinaria:12:1932-07-26:7;regional::13:1932-07-29:9	
BEs 1932\NOVEMBRO\26\99173\00000026.pdf	2926462	088375b88f066aa01ee08e03cde002a926d958c2	37	162754	989b59428730b4ae83160a93cad883066f849b53	1932	1932-11-26			1932-11-26	26	99173	2	0	0	superior::14:1932-08-02:11;superior:::1932-08-02:11	
BEs 1932\NOVEMBRO\30\99174\00000027.pdf	2648468	3a710d9968d95e24310043c3c72315cc206ef3e3	33	140838	17a8957b58ce808320f6436da760e009eff61a00	1932	1932-11-30			1932-10-15		99174	1	0	0	superior:extraordinaria:11:1932-11-01:2	data_divergente
BEs 1932\OUTUBRO\05\99163\00000016.pdf	1308252	fcf75b4d4e9aff730312f82ba94b76f989979b57	17	71126	35cafcd15d16c3eaaa9aa0b28ce2833ad3504aae	1932	1932-10-05			1932-10-05	16	99163	3	1	0	superior:ordinaria:::7;superior::18::8;superior:ordinaria::1932-09-24:8;regional:::1932-06-28:8	
BEs 1932\OUTUBRO\12\99164\00000017.pdf	1254997	9320383cc0d7e6a7b98e0852ffe1ff702945c42b	17	63112	636bbea4c25207bce66115d230c66117dce45401	1932	1932-10-12			1932-10-12	17	99164	2	0	0	superior:ordinaria:19:1932-10-01:2;superior:ordinaria::1932-10-01:2	
BEs 1932\OUTUBRO\19\99165\00000018.pdf	2631363	e05c0f74910c1f1cdfa46519d87dc4c107bf8ff1	33	148287	26ee02aaa4f167a49c5e9f7cbcad97ecd986332b	1932	1932-10-19			1932-10-19	18	99165	1	2	0	superior::20::2;regional:::1932-07-08:7;regional:::1932-07-12:9	
BEs 1932\OUTUBRO\22\99166\00000019.pdf	1173699	8483f79fa93041ba54ba348b413c26e9a8f51ed7	17	63694	59d791a5242ef44aac4000cef12057cc980d91b1	1932	1932-10-22			1932-10-22	19	99166	0	2	0	regional::11:1932-07-19:4;regional:::1932-07-19:4	
BEs 1932\OUTUBRO\26\99167\00000020.pdf	1739349	abd64a78137f3cee3e25cb86158a2ad711476b38	24	93720	9a9c0ac99b26642191aececdd25b7c2aaf0a58f5	1932	1932-10-26			1932-10-26	20	99167	2	0	0	superior:ordinaria:21:1932-10-15:2;superior:::1932-10-15:3	
BEs 1932\SETEMBRO\08\99159\00000012.pdf	1044723	1bc14dc0983d003dd8f1a18a915fcc5b097d9eb4	20	40943	21659cc4ad4f9e7c3e5883d10bfaadbefdabff9c	1932	1932-09-08			1932-09-08	12	99159	0	0	0		
BEs 1932\SETEMBRO\14\99160\00000013.pdf	489545	b5c184e7008cd6cb9a946d181917f89b3d3949d5	5	23724	21c2538797c934e7255a810bb79cc3849410753b	1932	1932-09-14			1932-09-14	13	99160	3	0	0	superior:extraordinaria:10:1932-08-24:2;superior:ordinaria::1932-08-27:3;superior:ordinaria:15::3	
BEs 1932\SETEMBRO\21\99161\00000014.pdf	761186	328b0f5d835ade53d82dd673534faaeb12f979c4	9	40163	2487e009b18a69060e6c7d9c4cb8176581897b5a	1932	1932-09-21			1932-09-21	14	99161	1	1	0	superior:ordinaria::1932-09-10:2;regional:::1932-06-21:7	
BEs 1932\SETEMBRO\28\99162\00000015.pdf	425951	46c5cf809a3b907ee01c81dc9aa56f9c8bcc7f01	5	20281	961fb2d0ee49a1d79902bb52a7168c5611863e7b	1932	1932-09-28			1932-09-28	15	99162	2	0	0	superior:ordinaria:17:1932-09-17:2;superior:::1932-08-24:3	
BEs 1933\ABRIL\01\99216\00000001.pdf	921535	b19ad503dceb6ae32ba1bf912b4e641fb062e951	13	47603	6faa4ff85e3a4b421972923df619d2f252148ed1	1933	1933-04-01			1933-04-01	70	99216	0	0	0		
BEs 1933\ABRIL\03\99217\00000002.pdf	504113	25b0f9bcb6aa04a964cf073c20f2d9a5147a2636	8	24986	288ab54fb40196a722f55f36a0c9a2acdb829479	1933	1933-04-03			1933-04-03	71	99217	0	0	0		
BEs 1933\ABRIL\04\99218\00000003.pdf	657931	4915119962f8e8166ec50a268c1ede4dc93c3fbc	9	32906	717b6de31026047c16941152f948fd9210c7574f	1933	1933-04-04			1933-04-04	72	99218	1	0	0	superior:ordinaria:23:1933-03-24:2	
BEs 1933\ABRIL\05\99219\00000004.pdf	1750531	a6142ccd490038ca0c4e4f99d3ba142b2dd6dc06	25	97220	ec2361f1a579c4c231a207629644392b77ac2f8e	1933	1933-04-05			1933-04-05	73	99219	1	0	0	superior:ordinaria:24:1933-03-28:2	
BEs 1933\ABRIL\06\99220\00000005.pdf	1198936	d4e3629017d46f45b86867f16d17933204b6e9b4	17	66013	9dadda02b74742b2eb50cbda83549429aa199aa6	1933	1933-04-06			1933-04-06	74	99220	0	0	0		
