data_sessao,tribunal,tipo,num_ordinal,pagina,n_boletim_be,data_boletim,arquivo_destino,origem
1932-05-17,superior,,,2,,1932-07-27,1932-07-27 - BE [99097].pdf,BEs 1932\JULHO\27\99097\00000002.pdf
1932-05-20,superior,,,3,,1932-07-27,1932-07-27 - BE [99097].pdf,BEs 1932\JULHO\27\99097\00000002.pdf
1932-05-25,regional,ordinaria,2,9,,1932-08-10,1932-08-10 - BE [99101].pdf,BEs 1932\AGOSTO\10\99101\00000006.pdf
1932-05-28,superior,ordinaria,,3,,1932-07-27,1932-07-27 - BE [99097].pdf,BEs 1932\JULHO\27\99097\00000002.pdf
1932-06-08,regional,ordinaria,,3,10,1932-08-27,1932-08-27 - BE n010 [99157].pdf,BEs 1932\AGOSTO\27\99157\00000010.pdf
1932-06-17,superior,extraordinaria,1,7,,1932-07-27,1932-07-27 - BE [99097].pdf,BEs 1932\JULHO\27\99097\00000002.pdf
1932-06-18,superior,ordinaria,4,9,,1932-07-27,1932-07-27 - BE [99097].pdf,BEs 1932\JULHO\27\99097\00000002.pdf
1932-06-21,regional,,,7,14,1932-09-21,1932-09-21 - BE n014 [99161].pdf,BEs 1932\SETEMBRO\21\99161\00000014.pdf
1932-06-24,superior,extraordinaria,,11,,1932-07-27,1932-07-27 - BE [99097].pdf,BEs 1932\JULHO\27\99097\00000002.pdf
1932-06-25,superior,ordinaria,,12,,1932-07-27,1932-07-27 - BE [99097].pdf,BEs 1932\JULHO\27\99097\00000002.pdf
1932-06-28,regional,,,8,16,1932-10-05,1932-10-05 - BE n016 [99163].pdf,BEs 1932\OUTUBRO\05\99163\00000016.pdf
1932-07-02,superior,ordinaria,1,14,,1932-07-27,1932-07-27 - BE [99097].pdf,BEs 1932\JULHO\27\99097\00000002.pdf
1932-07-08,regional,,,7,18,1932-10-19,1932-10-19 - BE n018 [99165].pdf,BEs 1932\OUTUBRO\19\99165\00000018.pdf
1932-07-08,superior,extraordinaria,,15,,1932-07-27,1932-07-27 - BE [99097].pdf,BEs 1932\JULHO\27\99097\00000002.pdf
1932-07-09,superior,ordinaria,,15,,1932-07-27,1932-07-27 - BE [99097].pdf,BEs 1932\JULHO\27\99097\00000002.pdf
1932-07-12,regional,,,9,18,1932-10-19,1932-10-19 - BE n018 [99165].pdf,BEs 1932\OUTUBRO\19\99165\00000018.pdf
1932-07-15,superior,extraordinaria,,18,,1932-07-27,1932-07-27 - BE [99097].pdf,BEs 1932\JULHO\27\99097\00000002.pdf
1932-07-16,superior,ordinaria,,16,,1932-07-27,1932-07-27 - BE [99097].pdf,BEs 1932\JULHO\27\99097\00000002.pdf
1932-07-22,superior,extraordinaria,6,2,4,1932-08-03,1932-08-03 - BE n004 [99099].pdf,BEs 1932\AGOSTO\03\99099\00000004.pdf
1932-07-23,superior,ordinaria,9,3,4,1932-08-03,1932-08-03 - BE n004 [99099].pdf,BEs 1932\AGOSTO\03\99099\00000004.pdf
1932-07-26,regional,,,14,4,1932-08-03,1932-08-03 - BE n004 [99099].pdf,BEs 1932\AGOSTO\03\99099\00000004.pdf
1932-07-26,regional,ordinaria,12,7,25,1932-11-23,1932-11-23 - BE n025 [99172].pdf,BEs 1932\NOVEMBRO\23\99172\00000025.pdf
1932-07-29,regional,,13,9,25,1932-11-23,1932-11-23 - BE n025 [99172].pdf,BEs 1932\NOVEMBRO\23\99172\00000025.pdf
1932-07-29,superior,extraordinaria,,2,5,1932-08-08,1932-08-08 - BE n005 [99100].pdf,BEs 1932\AGOSTO\08\99100\00000005.pdf
1932-07-30,superior,ordinaria,,3,5,1932-08-08,1932-08-08 - BE n005 [99100].pdf,BEs 1932\AGOSTO\08\99100\00000005.pdf
1932-08-02,superior,,,11,26,1932-11-26,1932-11-26 - BE n026 [99173].pdf,BEs 1932\NOVEMBRO\26\99173\00000026.pdf
1932-08-02,superior,,14,11,26,1932-11-26,1932-11-26 - BE n026 [99173].pdf,BEs 1932\NOVEMBRO\26\99173\00000026.pdf
1932-08-03,superior,extraordinaria,8,2,,1932-08-10,1932-08-10 - BE [99101].pdf,BEs 1932\AGOSTO\10\99101\00000006.pdf
1932-08-06,superior,ordinaria,,2,7,1932-08-17,1932-08-17 - BE n007 [99102].pdf,BEs 1932\AGOSTO\17\99102\00000007.pdf
