acao,motivo,relpath,ano_zip,data_final,fonte_data,n_boletim,destino,duplicata_de,n_atas_sup,n_atas_reg,paginas,len_norm,flags,sha1
incluir,,BEs 1932\JULHO\27\99097\00000002.pdf,1932,1932-07-27,pasta,,D:\TSJE_ATAS\1932\1932-07-27 - BE [99097].pdf,,13,0,18,122065,,eae7366635df38da665759bb4bd39b34498a0bc9
incluir,,BEs 1932\AGOSTO\03\99099\00000004.pdf,1932,1932-08-03,pasta,4,D:\TSJE_ATAS\1932\1932-08-03 - BE n004 [99099].pdf,,2,1,15,72144,,2ab29b327ed10e5cea4ecf40b3beb11933a6a281
incluir,,BEs 1932\AGOSTO\08\99100\00000005.pdf,1932,1932-08-08,pasta,5,D:\TSJE_ATAS\1932\1932-08-08 - BE n005 [99100].pdf,,2,0,5,19296,,d6a346e1dabc2cb64c485f6fffc8767711dbf244
incluir,,BEs 1932\AGOSTO\10\99101\00000006.pdf,1932,1932-08-10,pasta,,D:\TSJE_ATAS\1932\1932-08-10 - BE [99101].pdf,,1,1,9,35193,,deb05f01870e8d2d6d3bf16c116105f4f254ee1d
incluir,,BEs 1932\AGOSTO\17\99102\00000007.pdf,1932,1932-08-17,pasta,7,D:\TSJE_ATAS\1932\1932-08-17 - BE n007 [99102].pdf,,2,0,9,39155,,d1a9ea72813e5b4abb016650cb48848509a0ca25
incluir,,BEs 1932\AGOSTO\22\99103\00000008.pdf,1932,1932-08-22,pasta,8,D:\TSJE_ATAS\1932\1932-08-22 - BE n008 [99103].pdf,,1,2,5,18654,,23e44eea97713f3beb0a395a66ef770d085ed317
incluir,,BEs 1932\AGOSTO\24\99156\00000009.pdf,1932,1932-08-24,pasta,9,D:\TSJE_ATAS\1932\1932-08-24 - BE n009 [99156].pdf,,1,0,9,45036,,c806070eeffc4ee60e5bad7af97763b4c472b03e
incluir,,BEs 1932\AGOSTO\27\99157\00000010.pdf,1932,1932-08-27,pasta,10,D:\TSJE_ATAS\1932\1932-08-27 - BE n010 [99157].pdf,,2,1,5,21508,,07b9048bbfa90b8abe4815698cdb28bf8c7c8bad
incluir,,BEs 1932\SETEMBRO\14\99160\00000013.pdf,1932,1932-09-14,pasta,13,D:\TSJE_ATAS\1932\1932-09-14 - BE n013 [99160].pdf,,3,0,5,23724,,b5c184e7008cd6cb9a946d181917f89b3d3949d5
incluir,,BEs 1932\SETEMBRO\21\99161\00000014.pdf,1932,1932-09-21,pasta,14,D:\TSJE_ATAS\1932\1932-09-21 - BE n014 [99161].pdf,,1,1,9,40163,,328b0f5d835ade53d82dd673534faaeb12f979c4
incluir,,BEs 1932\SETEMBRO\28\99162\00000015.pdf,1932,1932-09-28,pasta,15,D:\TSJE_ATAS\1932\1932-09-28 - BE n015 [99162].pdf,,2,0,5,20281,,46c5cf809a3b907ee01c81dc9aa56f9c8bcc7f01
incluir,,BEs 1932\OUTUBRO\05\99163\00000016.pdf,1932,1932-10-05,pasta,16,D:\TSJE_ATAS\1932\1932-10-05 - BE n016 [99163].pdf,,3,1,17,71126,,fcf75b4d4e9aff730312f82ba94b76f989979b57
incluir,,BEs 1932\OUTUBRO\12\99164\00000017.pdf,1932,1932-10-12,pasta,17,D:\TSJE_ATAS\1932\1932-10-12 - BE n017 [99164].pdf,,2,0,17,63112,,9320383cc0d7e6a7b98e0852ffe1ff702945c42b
incluir,,BEs 1932\OUTUBRO\19\99165\00000018.pdf,1932,1932-10-19,pasta,18,D:\TSJE_ATAS\1932\1932-10-19 - BE n018 [99165].pdf,,1,2,33,148287,,e05c0f74910c1f1cdfa46519d87dc4c107bf8ff1
incluir,,BEs 1932\OUTUBRO\26\99167\00000020.pdf,1932,1932-10-26,pasta,20,D:\TSJE_ATAS\1932\1932-10-26 - BE n020 [99167].pdf,,2,0,24,93720,,abd64a78137f3cee3e25cb86158a2ad711476b38
incluir,,BEs 1932\NOVEMBRO\09\99169\00000022.pdf,1932,1932-11-09,pasta,22,D:\TSJE_ATAS\1932\1932-11-09 - BE n022 [99169].pdf,,1,0,34,143524,,acd91a92490c919097ab6bf9c3ba238d12c32502
incluir,,BEs 1932\NOVEMBRO\23\99172\00000025.pdf,1932,1932-11-23,pasta,25,D:\TSJE_ATAS\1932\1932-11-23 - BE n025 [99172].pdf,,1,2,17,77125,,79a66565bca4b3d07ec1864cae89a448ba7de7f4
incluir,,BEs 1932\NOVEMBRO\26\99173\00000026.pdf,1932,1932-11-26,pasta,26,D:\TSJE_ATAS\1932\1932-11-26 - BE n026 [99173].pdf,,2,0,37,162754,,088375b88f066aa01ee08e03cde002a926d958c2
incluir,,BEs 1932\NOVEMBRO\30\99174\00000027.pdf,1932,1932-11-30,pasta,,D:\TSJE_ATAS\1932\1932-11-30 - BE [99174].pdf,,1,0,33,140838,data_divergente,3a710d9968d95e24310043c3c72315cc206ef3e3
incluir,,BEs 1932\DEZEMBRO\03\99175\00000028.pdf,1932,1932-12-03,pasta,,D:\TSJE_ATAS\1932\1932-12-03 - BE [99175].pdf,,2,0,13,52730,data_divergente,396b008b84f3df77f7c43c9d249de278c6c5a331
incluir,,BEs 1932\DEZEMBRO\07\99176\00000029.pdf,1932,1932-12-07,pasta,296,D:\TSJE_ATAS\1932\1932-12-07 - BE n296 [99176].pdf,,1,0,17,68902,,eb045a179492c587ac0b5003e6fd3f33669e5a0d
incluir,,BEs 1932\DEZEMBRO\17\99179\00000032.pdf,1932,1932-12-17,pasta,,D:\TSJE_ATAS\1932\1932-12-17 - BE [99179].pdf,,1,0,23,119006,data_divergente,865d69ec3908231aceb6ad135ee1a24b8230c8e6
incluir,,BEs 1932\DEZEMBRO\21\99180\00000033.pdf,1932,1932-12-21,pasta,33,D:\TSJE_ATAS\1932\1932-12-21 - BE n033 [99180].pdf,,6,0,17,74739,,3e7e5ef8a5001e277a268df1711f199e665e5e09
incluir,,BEs 1932\DEZEMBRO\24\99181\00000034.pdf,1932,1932-12-24,pasta,34,D:\TSJE_ATAS\1932\1932-12-24 - BE n034 [99181].pdf,,2,0,25,124067,,913f82863b66e813793dd0f622198a897bdba596
incluir,,BEs 1932\DEZEMBRO\28\99182\00000035.pdf,1932,1932-12-28,pasta,35,D:\TSJE_ATAS\1932\1932-12-28 - BE n035 [99182].pdf,,3,0,17,84349,,27aed2c131255f676fd75db1222acfb1c5135375
incluir,,BEs 1933\JANEIRO\02\99183\00000001.pdf,1933,1933-01-02,pasta,1,D:\TSJE_ATAS\1933\1933-01-02 - BE n001 [99183].pdf,,4,0,41,202078,,024631be039e021f820fc509bf7548a14b3d3afa
incluir,,BEs 1933\JANEIRO\04\99184\00000002.pdf,1933,1933-01-04,pasta,2,D:\TSJE_ATAS\1933\1933-01-04 - BE n002 [99184].pdf,,1,0,9,35490,,03310ec44f0cdfc9c91719ad7dbba6fdd131586d
incluir,,BEs 1933\JANEIRO\07\99185\00000003.pdf,1933,1933-01-07,pasta,3,D:\TSJE_ATAS\1933\1933-01-07 - BE n003 [99185].pdf,,1,0,57,221397,,663e2dcd7da900f27ae78c13225b23a462effcd0
incluir,,BEs 1933\JANEIRO\11\99186\00000004.pdf,1933,1933-01-11,pasta,4,D:\TSJE_ATAS\1933\1933-01-11 - BE n004 [99186].pdf,,1,0,48,196915,,f306429b245bbab9b229d8aff6ca80eb64df4281
incluir,,BEs 1933\JANEIRO\17\99189\00000007.pdf,1933,1933-01-17,pasta,7,D:\TSJE_ATAS\1933\1933-01-17 - BE n007 [99189].pdf,,4,0,13,61218,,01776ad881d04bcda62b75f0c64e795e31760469
incluir,,BEs 1933\JANEIRO\20\99192\00000010.pdf,1933,1933-01-20,pasta,10,D:\TSJE_ATAS\1933\1933-01-20 - BE n010 [99192].pdf,,1,0,17,81248,,684dc56528c1ae6de4de9204e630382aa412c974
incluir,,BEs 1933\JANEIRO\21\99193\00000011.pdf,1933,1933-01-21,pasta,11,D:\TSJE_ATAS\1933\1933-01-21 - BE n011 [99193].pdf,,1,0,17,86038,,9874d82cfb037c69434b266c5e225dcb5e055666
incluir,,BEs 1933\JANEIRO\23\99194\00000012.pdf,1933,1933-01-23,pasta,12,D:\TSJE_ATAS\1933\1933-01-23 - BE n012 [99194].pdf,,1,0,9,34051,,845f6e9f8c3c0d00e3b521a094ea86d00c6815d9
incluir,,BEs 1933\JANEIRO\24\99195\00000013.pdf,1933,1933-01-24,pasta,13,D:\TSJE_ATAS\1933\1933-01-24 - BE n013 [99195].pdf,,1,0,17,70060,,3c9055c32724bb38e4dee8d9698b3387f4969bb5
incluir,,BEs 1933\JANEIRO\25\99196\00000014.pdf,1933,1933-01-25,pasta,14,D:\TSJE_ATAS\1933\1933-01-25 - BE n014 [99196].pdf,,1,0,9,37053,,df5179b829fa9b1607556da36f6ea95f38afadd8
incluir,,BEs 1933\JANEIRO\26\99197\00000015.pdf,1933,1933-01-26,pasta,15,D:\TSJE_ATAS\1933\1933-01-26 - BE n015 [99197].pdf,,1,0,9,41228,,edf5079ba64fda86836b6d92a198815372f13841
incluir,,BEs 1933\JANEIRO\30\99200\00000018.pdf,1933,1933-01-30,pasta,18,D:\TSJE_ATAS\1933\1933-01-30 - BE n018 [99200].pdf,,1,0,9,38572,,4c1dfafa35f8ed4fcd9a73d89789cb0f4f9a9a5e
incluir,,BEs 1933\FEVEREIRO\07\99301\00000025.pdf,1933,1933-02-07,pasta,25,D:\TSJE_ATAS\1933\1933-02-07 - BE n025 [99301].pdf,,1,0,9,34578,,4edcb4f5fd43705a5a9f165be1e0c7ba632bb961
incluir,,BEs 1933\FEVEREIRO\08\99302\00000026.pdf,1933,1933-02-08,pasta,26,D:\TSJE_ATAS\1933\1933-02-08 - BE n026 [99302].pdf,,1,0,24,103154,,a990d816b100e9a7b06d8219d0192acf81ceb85d
incluir,,BEs 1933\FEVEREIRO\09\99303\00000027.pdf,1933,1933-02-09,pasta,27,D:\TSJE_ATAS\1933\1933-02-09 - BE n027 [99303].pdf,,1,0,9,36346,,7b4bf3627cfa4e53b2cd6aa765547c7956ff8bc2
incluir,,BEs 1933\FEVEREIRO\10\99304\00000028.pdf,1933,1933-02-10,pasta,28,D:\TSJE_ATAS\1933\1933-02-10 - BE n028 [99304].pdf,,1,0,17,83223,,3bcbcfe335ff83e245b6f204843fdeef898eef8a
incluir,,BEs 1933\FEVEREIRO\11\99305\00000029.pdf,1933,1933-02-11,pasta,29,D:\TSJE_ATAS\1933\1933-02-11 - BE n029 [99305].pdf,,10,0,17,97157,,48ca819db452b221c985b65c4ecd6138a27b3860
incluir,,BEs 1933\FEVEREIRO\13\99306\00000030.pdf,1933,1933-02-13,pasta,30,D:\TSJE_ATAS\1933\1933-02-13 - BE n030 [99306].pdf,,1,0,25,118745,,b029c29a24c95c59ddc6c66cf275810f7dec7d6f
incluir,,BEs 1933\FEVEREIRO\14\99307\00000031.pdf,1933,1933-02-14,pasta,31,D:\TSJE_ATAS\1933\1933-02-14 - BE n031 [99307].pdf,,2,0,17,66038,,3ec35b9b3dead8db6fb3ed1572ff2d87fbf90fbc
incluir,,BEs 1933\FEVEREIRO\15\99308\00000032.pdf,1933,1933-02-15,pasta,32,D:\TSJE_ATAS\1933\1933-02-15 - BE n032 [99308].pdf,,2,0,17,69178,,7f5418a035bbe5d4711932e35eaa682aeb5d5287
incluir,,BEs 1933\FEVEREIRO\16\99309\00000033.pdf,1933,1933-02-16,pasta,33,D:\TSJE_ATAS\1933\1933-02-16 - BE n033 [99309].pdf,,2,0,17,74059,,d1421f931675b21f576ad92225fcd31758b8ffe4
