"De","Para"
"C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\Plenário\MODELO - Emenda de Plenário - PDL 204-2021 (Tratado de Extradição Brasil-Emirados Árabes).docx","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\Plenário\Modelos e pareceres\MODELO - Emenda de Plenário - PDL 204-2021 (Tratado de Extradição Brasil-Emirados Árabes).docx"
"C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\Plenário\Modelo - Parecer de Plenário às emendas - PL 3.880-2024 violência vicária (Lei Maria da Penha).docx","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\Plenário\Modelos e pareceres\Modelo - Parecer de Plenário às emendas - PL 3.880-2024 violência vicária (Lei Maria da Penha).docx"
"C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\Plenário\Modelo de Parecer Preliminar de Plenário - CCJC - PL 3.880-2024 violência vicária.docx","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\Plenário\Modelos e pareceres\Modelo de Parecer Preliminar de Plenário - CCJC - PL 3.880-2024 violência vicária.docx"
"C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\Plenário\Parecer de Plenário à Emenda - PL 3025-2023 - controle do ouro - v1.docx","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\Plenário\Modelos e pareceres\Parecer de Plenário à Emenda - PL 3025-2023 - controle do ouro - v1.docx"
"C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\Plenário\Parecer de Plenário às Emendas 1 e 2 - PL 3025-2023 - Controle do ouro - Rel. Marx Beltrão.docx","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\Plenário\Modelos e pareceres\Parecer de Plenário às Emendas 1 e 2 - PL 3025-2023 - Controle do ouro - Rel. Marx Beltrão.docx"
"C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\Plenário\Pesquisa suspensa no TSE - PL versus AtlasIntel.mp4","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\Plenário\Vídeos de sessões\Pesquisa suspensa no TSE - PL versus AtlasIntel.mp4"
"C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\Plenário\Plenário - 14-05-2026 - Janones.mp4","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\Plenário\Vídeos de sessões\Plenário - 14-05-2026 - Janones.mp4"
"C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\Plenário\Sessão Plenária - 09 de Junho 2026 (montagem 5 trechos - comprimido).mp4","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\Plenário\Vídeos de sessões\Sessão Plenária - 09 de Junho 2026 (montagem 5 trechos - comprimido).mp4"
"C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\Plenário\Sessão Plenária - 09 de Junho 2026 (montagem 5 trechos).mp4","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\Plenário\Vídeos de sessões\Sessão Plenária - 09 de Junho 2026 (montagem 5 trechos).mp4"
"C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\Plenário\Sessão Plenária - 09-06-2026 - Acordos Mercosul Singapura e EFTA e urgência de 18 projetos.mp4","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\Plenário\Vídeos de sessões\Sessão Plenária - 09-06-2026 - Acordos Mercosul Singapura e EFTA e urgência de 18 projetos.mp4"
"C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\Plenário\Sessão Plenária - 26 de Maio 2026 (trecho comprimido).mp4","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\Plenário\Vídeos de sessões\Sessão Plenária - 26 de Maio 2026 (trecho comprimido).mp4"
"C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\Plenário\Sessão Plenária - 27-05-2026 - Discussão e votação de propostas.mp4","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\Plenário\Vídeos de sessões\Sessão Plenária - 27-05-2026 - Discussão e votação de propostas.mp4"
"C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\Plenário\Sessão TSE - 05-11-2024 - Fidelidade partidária de suplente.mp4","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\Plenário\Vídeos de sessões\Sessão TSE - 05-11-2024 - Fidelidade partidária de suplente.mp4"
